cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,int_flux_err_Jy,amp_snr,x_snr,y_snr,sigma_snr,int_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type
ACT-CLJ1144.0+0440,AGBT21B_298_05,7,174.0,244.0,5.120000000000001,2.0,6.0,176.02051702515345,4.724740905473224,0.0008035629838896058,0.0005831598639000278,174.00000001803838,243.99999998924156,3.000000102969698,0.0009421976359463595,0.00012974155337003727,3.097254353871164,174.5125615099759,244.38100558563693,5.044172877651366,14.147139709055429,1.9486300945281982,0.0,0.000126939412439242,3336150.0,199,ACT-CLJ1144.0+0440,0.0001316964905205,1.1404485691238933,0.0075136566099626,0.004762993446121,2771.2843310332582,-0.0132391485296956,1.1305813856537814,20.0
ACT-CLJ1144.2+0227,AGBT21B_298_05,8,90.0,210.0,5.120000000000001,2.0,6.0,176.09719718685793,2.4890061749495276,0.0008390497048363137,0.0013358257326220786,90.00000001226874,209.9999999914559,2.9999997484645875,0.00215826161533025,0.0001268939200837871,6.245423804334713,90.22634222836686,210.54167787118683,3.014189146693304,10.186260130213508,5.432332992553711,0.0,0.00017362557991873473,1630736.5,200,ACT-CLJ1144.2+0227,0.0001357876074935,1.0968498650547485,-0.1084413996205994,0.0076207895137936,2910.4385087521014,-0.0345336553451795,1.0793007123692877,20.0
ACT-CLJ1144.2+0227,AGBT21B_298_05,8,171.0,280.0,3.2,2.0,6.0,176.05215455675875,2.5278956354049034,0.0011474829439854608,0.0013468601628435755,170.9999998779258,279.9999999228182,2.999999790782631,0.002176089741126452,0.00012688105002907582,6.536886361184637,170.86208665369102,279.6867499215032,2.0133970523882416,4.757092948255352,5.401910781860352,0.0,0.0002539073466323316,978181.3125,200,ACT-CLJ1144.2+0227,0.0001357876074935,1.0968498650547485,-0.1084413996205994,0.0076207895137936,2910.4385087521014,-0.0345336553451795,1.0793007123692877,20.0
ACT-CLJ1144.2+0227,AGBT21B_298_05,8,266.0,166.0,5.120000000000001,2.0,6.0,175.9993281711135,2.4645610849009936,0.001009157730135494,0.0011223323556360753,265.9999998639228,165.9999997281564,2.999998684556502,0.0018133241976089425,0.00012688638611080185,3.8289127125901548,266.1695342015342,165.5649929345594,2.7342666431382563,5.13888666280512,3.5803589820861816,0.0,0.00026688200887292624,898553.0625,200,ACT-CLJ1144.2+0227,0.0001357876074935,1.0968498650547485,-0.1084413996205994,0.0076207895137936,2910.4385087521014,-0.0345336553451795,1.0793007123692877,20.0
ACT-CLJ1144.2+0227,AGBT21B_298_05,8,215.0,134.0,5.120000000000001,2.0,6.0,176.02768811363939,2.4467842376607702,0.0005812104747786309,0.0006110708936516029,214.99999999286462,134.00000001818947,3.000000066930051,0.0009872928046016293,0.00012688151419543893,2.8650960273025423,214.5448102518149,134.20948231753067,4.569080878365096,10.737637021768185,2.6037709712982178,0.0,0.00013743745512329042,3431473.5,200,ACT-CLJ1144.2+0227,0.0001357876074935,1.0968498650547485,-0.1084413996205994,0.0076207895137936,2910.4385087521014,-0.0345336553451795,1.0793007123692877,20.0
ACT-CLJ1145.1-0100,AGBT21B_298_05,9,171.0,163.0,3.2,2.0,6.0,176.28526717423136,-1.0052506482629018,8.78034939543372e-05,0.0012442901566366094,170.9999999866043,162.99999988126865,2.999999097473241,0.0020103689069064686,0.00011838067297895758,13.22190529665227,171.39921860024086,163.09339665178754,2.6810984480464093,17.062057834079006,12.979284286499023,0.0,8.309005352202803e-05,8808138.0,201,ACT-CLJ1145.1-0100,0.0001126877687568,1.15166116732877,0.0636191640753825,0.0,3434.050019219554,0.0554767374335336,0.9830743725961104,20.0
ACT-CLJ1145.1-0100,AGBT21B_298_05,9,250.0,83.0,3.2,2.0,6.0,176.24137087432362,-1.0496947068576896,0.0011466633139252977,0.00209541036747396,250.0,83.0,3.0,0.0033855048696935747,4.712160915387242e-05,4.885015978976904,249.9971089877782,82.96843349371372,2.7131688072165554,6.4555234717783065,4.286495208740234,0.0,0.0003990253317169845,315547.78125,201,ACT-CLJ1145.1-0100,0.0001126877687568,1.15166116732877,0.0636191640753825,0.0,3434.050019219554,0.0554767374335336,0.9830743725961104,20.0
ACT-CLJ1145.1-0100,AGBT21B_298_08,38,189.0,245.0,5.120000000000001,2.0,6.0,176.27338901935272,-0.9583400205426993,0.0008463017783782597,0.0038157168213138145,189.00000053832306,244.99999935616952,3.000002107777213,0.006164971898972709,0.0002316568421591887,3.0665876181184597,189.0575328324703,244.89168782912805,5.702478461930515,17.90171052142297,3.322192907333374,0.0,0.0007031240966171026,146072.1875,201,ACT-CLJ1145.1-0100,0.0001126877687568,1.15166116732877,0.0636191640753825,0.0,3434.050019219554,0.0554767374335336,0.9830743725961104,20.0
ACT-CLJ1145.1-0100,AGBT21B_298_08,38,191.0,284.0,5.120000000000001,2.0,6.0,176.2722778600442,-0.9366733708220466,0.0012159059566190405,0.005202374595082088,190.99999835790388,284.0000018231789,3.0000010511595043,0.008405359227717669,0.00023165821707680037,2.30681500498056,191.1874272726535,285.94226122003187,4.596680904482114,8.750106238758775,1.72653067111969,0.0,0.0015880579594522715,26166.4765625,201,ACT-CLJ1145.1-0100,0.0001126877687568,1.15166116732877,0.0636191640753825,0.0,3434.050019219554,0.0554767374335336,0.9830743725961104,20.0
ACT-CLJ1148.0-0234,AGBT21B_298_05,10,181.0,174.0,5.120000000000001,2.0,6.0,177.01555687126722,-2.5690919851747402,0.00021789665092775097,0.00044788766011507046,180.9999999948716,173.9999999903646,3.000000016897047,0.0007236414857029329,0.00012382022951804158,4.357335356517798,181.14951289154078,173.73299753464855,3.0807108611189475,7.423944397948789,4.053745269775391,0.0,8.482923294650391e-05,8940758.0,202,ACT-CLJ1148.0-0234,0.0001135012878991,1.0909501792393674,-0.1767019077880091,0.0,3590.166225035336,-0.0086615807242193,0.9376539077756196,20.0
