Cluster_1,project_1,scanno_1,amp_jy,X_loc_pixels,y_loc_pixels,RA,DEC,cluster_2,project_2,scanno_2,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,offset,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,snr,masked,noise_ps,hits_ps,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type,GroupID,GroupSize,Separation
ACT-CLJ0922.1-0027,AGBT21B_298_03,11,0.007,341,345,140.5318,-0.454,ACT-CLJ0922.1-0027,AGBT21B_298_03,11,358.0,346.0,5.120000000000001,2.0,6.0,140.53208968283718,-0.45409893770774346,1.963345791256393E-4,0.00684316815307122,356.0,344.0,4.3068676472884375,-1.791620268119282E-6,0.005653764933607463,1.983263753938507E-5,34.745487213134766,6.790431339792097,34.745487213134766,0.0,1.0929197014775127E-4,1304233.125,ACT-CLJ0922.1-0027,1.366445413297E-4,1.0563005115390496,0.0174474938252311,0.0038103947568968,11249.041693582589,-0.0023880683616153,-0.0757866072058057,415.5338951719184,21.0,,,1.101978177296496
ACT-CLJ1134.0+0116,AGBT21B_298_04,38,0.01,471,472,173.4698,1.3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT-CLJ1136.9+0006,AGBT21B_298_04,39,0.007,322,558,174.2305,0.1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT-CLJ1222.4-0127,AGBT21B_298_05,30,0.03,477,472,185.5671,-1.4126,ACT-CLJ1222.4-0127,AGBT21B_298_05,30,483.0,472.0,5.120000000000001,2.0,6.0,185.5671633012754,-1.4130446353872446,0.0010531171770954508,0.02162566060371587,481.0,470.0,4.219684432800255,-7.528498381021586E-5,0.015472499280576204,3.755917417945343E-5,30.573286056518555,21.786547282737278,29.942411422729492,0.0,3.8394040893763304E-4,66925.828125,ACT-CLJ1222.4-0127,1.588178207193E-4,1.0496072014961166,0.0272768678166687,0.0,11487.33683848904,-0.0014711167959378,-0.0776255504991827,407.2991021131733,21.0,,,1.616673730696673
ACT-CLJ1138.5-0011,AGBT21B_298_04,40,0.003,321,324,174.6382,-0.1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT-CLJ1032.1-0249,AGBT21B_298_03,33,0.03,347,345,158.0319,-2.8211,ACT-CLJ1032.1-0249,AGBT21B_298_03,33,349.0,346.0,5.120000000000001,2.0,6.0,158.03206385243308,-2.8212177883850895,1.6145096555080144E-4,0.029851420727825907,347.0,344.0,4.2539317159138506,-1.4419406294200135E-4,0.020778865918584598,2.2078663850908673E-5,111.83846282958984,29.96347278207601,111.83846282958984,0.0,1.4651707897428423E-4,887302.0,ACT-CLJ1032.1-0249,1.45851055359E-4,0.9782226044046028,-0.1093532028448807,0.0,17337.063834422028,-5.794050543829E-4,-0.0701169188288468,408.5360304152924,21.0,,,0.7258933330642834
ACT-CLJ0245.2+0032,AGBT22B_242_03,29,0.001,305,558,41.3037,0.613,ACT-CLJ0245.2+0032_2aspcmsubqm2_fitel_0f05-to-49f5Hz_qc_0p6rr_M_PdoCals_dt10AGBT22B,AGBT22B_242_03,29,344.0,553.0,5.120000000000001,2.0,6.0,41.30277085268799,0.6113473707588437,0.001114449032434082,0.0015257013097786346,343.0,552.0,3.00004582439548,-6.467819735119929E-5,-9.378460717477709E-4,2.861960574101908E-5,2.5432627201080322,-6.381250918024719,2.513370990753174,0.0,2.9868699493817985E-4,268142.125,,,,,,,,,,,,,6.825128344858361
ACT-CLJ1128.3-0058,AGBT21B_298_08,29,0.01,457,472,172.0358,-0.944,ACT-CLJ1128.3-0058,AGBT21B_298_08,29,482.0,472.0,5.120000000000001,2.0,6.0,172.03580182163194,-0.9444502271067123,0.0010495736728946018,0.008523538661597857,481.0,471.0,4.014060864272882,9.133801666537069E-5,0.008358396662491786,4.024091942813328E-5,11.143555641174316,8.176196781540652,11.059212684631348,0.0,4.0927185909822583E-4,88860.125,ACT-CLJ1128.3-0058,2.196083923179E-4,1.1425510872044826,-0.16255202527906,0.0,19864.14773082213,0.0012233861547758,-0.0626741875928435,424.4028828036033,21.0,,,1.6208102479870994
ACT-CLJ1112.8+0229,AGBT21B_298_04,19,0.03,304,558,168.2021,2.5628,ACT-CLJ1112.8+0229,AGBT21B_298_04,19,334.0,557.0,5.120000000000001,2.0,6.0,168.20237386305615,2.5622440705370173,0.0011306553166169097,0.016293623404572403,332.0,556.0,4.683537372550297,-2.68389881822573E-4,0.009591459678298471,2.9596207150926962E-5,22.377836227416992,16.11882231064212,21.820755004882812,0.0,4.183218989055604E-4,87360.796875,ACT-CLJ1112.8+0229,1.59183553089E-4,1.224480628754547,-0.0719142755397787,0.0057155921353452,10313.971526637764,5.475364996852E-4,-0.0737565329899673,428.9510869210015,21.0,,,2.230348701851616
ACT-CLJ0957.6+0234,AGBT21B_298_03,23,0.007,326,558,149.406,2.6385,ACT-CLJ0957.6+0234,AGBT21B_298_03,23,334.0,558.0,5.120000000000001,2.0,6.0,149.40595645964942,2.6382073489761084,0.001135499007396423,0.006767713181252631,333.0,557.0,4.274315520282513,-1.3099287395390092E-4,0.0024015844716474004,3.06106169969971E-5,12.434833526611328,6.191258988595443,12.434833526611328,0.0,2.9902433743700385E-4,193915.6875,ACT-CLJ0957.6+0234,1.368010061246E-4,1.1606583852412704,-0.075493481298648,0.0038103947568968,10794.220827681283,7.718674669860611E-5,-0.0738689528971104,423.6472336534336,21.0,,,1.0650273408724305
ACT-CLJ1036.9+0154,AGBT21B_298_08,15,0.003,304,414,159.2416,1.9315,ACT-CLJ1036.9+0154,AGBT21B_298_08,15,325.0,413.0,5.120000000000001,2.0,6.0,159.2417722354149,1.9309719828439142,4.3151139571774263E-4,0.004469363689019373,324.0,412.0,3.0000062627159254,-1.8329547319136065E-4,-0.0025990597989658435,2.9621189991494383E-5,7.519480228424072,4.385556361880863,7.519480228424072,0.0,2.4478405248373747E-4,267947.53125,ACT-CLJ1036.9+0154,1.151946737057E-4,1.0694237317285595,-0.1926845332373139,0.0066681908245694,18489.525777569484,8.721439573937E-4,-0.0654411409718944,413.957087296659,21.0,,,1.9991806901397526
ACT-CLJ0248.7-0019,AGBT22B_242_04,22,0.001,301,414,42.2002,-0.302,ACT-CLJ0248.7-0019_2aspcmsubqm2_fitel_0f05-to-49f5Hz_qc_0p6rr_M_PdoCals_dt10AGBT22B,AGBT22B_242_04,22,333.0,419.0,5.120000000000001,2.0,6.0,42.19981243524366,-0.3008422807986851,4.6263519571526575E-4,8.47274926112484E-4,332.0,418.0,3.0000014597090963,1.07772306558993E-4,0.002931845529070073,2.2909342136638214E-5,3.6641757488250732,0.5513961786063887,3.5437138080596924,0.0,1.608234306331724E-4,746695.375,,,,,,,,,,,5,2,4.3950736992827535
