,cluster,ra_deg,dec_deg,dist_center_radians,amp_fit,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,dist_center_radians,Component_name_vlass,Component_id_vlass,RA_vlass,DEC_vlass,Total_flux_vlass,RA_first,DEC_first,FINT_first,Name_gleam,RAJ2000_gleam,DEJ2000_gleam,int_flux_wide_gleam,Source_name_tgss,RA_tgss,DEC_tgss,Total_flux_tgss,ra_wise,dec_wise,w1_flux_wise,w2_flux_wise,w3_flux_wise,w4_flux_wise,ra_2mass,dec_2mass,j_flux_2mass,h_flux_2mass,k_flux_2mass
1155,ACT-CLJ0901.5+0301,135.35901117036005,2.990658792102927,0.0006927917012189,0.0028629544653516,0.0214830819070609,1.7860383067057616e-05,13.151110649108888,2.5837793273514733,0.0006927917012189,VLASS1QLCIR J090125.78+025928.1,38.0,135.35742241059546,2.99114454623119,6.751356857979999,135.35738315975442,2.9902943846720174,8.181905,GLEAM J090123+025854,135.34712,2.9817317,0.9265233,,,,,135.3575557,2.9913326,0.6778237444052148,0.4986436529708005,0.3540812358340378,2.37444490403105,135.357672,2.991385,0.5487785455440106,0.5442521730829538,0.8312388520445048
1190,ACT-CLJ0905.6+0434,136.43326931318364,4.561726444430982,0.0003607222234328,0.0056699256665515,-0.0076446387345976,2.7111869441920093e-05,11.947233200073242,5.604422268693085,0.0003607222234328,VLASS1QLCIR J090543.59+043347.4,48.0,136.43166454249285,4.563175362138519,8.32331348382,136.43171727468405,4.563116622683527,8.464096,GLEAM J090541+043449,136.422,4.5802846,0.14283438,TGSSADR J090543.5+043347,136.43135,4.56309,42.0,136.4315443,4.5631422,0.4396598204978217,0.632980448091448,1.605103021903126,5.489870458822065,136.431464,4.563151,0.3207724966122961,0.3849463195873178,0.3595223004029116
1237,ACT-CLJ0918.7+0211,139.7031560593457,2.2239511148953213,0.0006321196343065,0.0024717070895709,-0.0011883427569863,1.737597571715927e-05,15.4503173828125,2.1965631668530667,0.0006321196343065,VLASS1QLCIR J091848.57+021322.0,23.0,139.70238981746945,2.2227923803251697,7.21837791046,139.70246264177138,2.222788802402035,5.516336,,,,,,,,,139.7024479,2.2227263,0.3911260826135019,0.4189771087234236,0.7182951141770136,2.836364863693389,139.702487,2.2228,0.2840515244014759,0.3924643125716645,0.4748165344639414
1342,ACT-CLJ1005.5+0235,151.3802284020592,2.584107898594596,0.0001167585981802,0.0006103196253575,0.0063346527937278,1.4317146719439309e-05,5.946552753448486,0.380892256231348,0.0001167585981802,VLASS1QLCIR J100531.52+023503.9,49.0,151.38135604940234,2.58443134053704,10.074935754459998,151.38194951870975,2.5850556326771645,45.496826,GLEAM J100531+023511,151.38301,2.5865,0.23533702,TGSSADR J100531.7+023505,151.38214,2.58486,257.8,151.3814907,2.5857917,0.6285166372809595,0.4779586166180362,0.3274182722015241,3.725307242878831,,,,,
1370,ACT-CLJ1029.9+0016,157.4782812012009,0.2385785896514459,0.0005540467623648,0.0010382955455772,0.0005503229892609,2.0143157053849987e-05,7.332694053649902,0.6865820866761334,0.0005540467623648,,,,,,,,,,,,,,,,,157.4792106,0.2383073,0.0913517304022314,0.1256001897343658,0.2708338306390948,2.683873837218907,,,,,
1381,ACT-CLJ1031.2+0031,157.83051081904352,0.4880190684796425,0.0007588533158792,0.0011906142220651,0.0045579837211458,1.9873051705493874e-05,6.515515327453613,0.6617180677295023,0.0007588533158792,,,,,,,,,,,,,,,,,157.8301561,0.4872626,0.0261045840918353,0.0336814124383856,0.2936993006449774,2.6814030360839225,,,,,
1470,ACT-CLJ1117.9-0211,169.499176025,-2.1858074697602774,5.817764307606157e-05,0.0013491934016707,0.0126533627094356,1.636528931012482e-05,7.681783199310303,1.0902650594480363,5.817764307606157e-05,VLASS1QLCIR J111759.77-021116.3,52.0,169.49906096247537,-2.18786118977875,3.30862576227,169.49903995254695,-2.1878750097990456,2.4988308,,,,,,,,,169.4990368,-2.1878669,0.2318017862342494,0.1057280677973063,0.3563714567919767,2.0247065917854674,,,,,
1739,ACT-CLJ1203.9+0126,181.0092424952575,1.44451189423727,0.0003655122128672,0.0036311674499072,-0.0061241178275781,3.175218010800449e-05,12.257129669189451,3.529988776944773,0.0003655122128672,VLASS1QLCIR J120401.98+012641.7,57.0,181.0082708998186,1.44491979013962,4.684645283369999,181.00828117669928,1.4448333508670503,4.2686315,GLEAM J120359+012559,180.99977,1.4331564,0.17085649,,,,,181.0082023,1.4448791,2.5021698011372187,1.5381202697946803,1.265618785434403,2.4658241221098587,181.008215,1.444854,2.1018277629723423,2.612162387499905,2.578254793810554
1769,ACT-CLJ1210.2+0223,182.5756023844126,2.3947936335045896,9.198693035472068e-05,0.0007763497974174,0.0030640504431611,1.4469065620328724e-05,5.477189540863037,0.509706652692754,9.198693035472068e-05,VLASS1QLCIR J121017.73+022343.6,22.0,182.5739085065586,2.3954569775162,24.874968771610003,182.57393811938465,2.3954638820261853,71.08327,GLEAM J121017+022340,182.57428,2.3946786,0.398036,TGSSADR J121017.5+022342,182.57332,2.39516,584.3,182.5738858,2.3954424,0.7542525345976798,0.5060463485091885,0.6198732745005893,3.457499267598187,182.573779,2.395283,0.3635776048642034,0.5051265216902917,0.8011721311643653
1792,ACT-CLJ1220.4-0240,185.07772525335847,-2.682961536955037,0.0004774860758353,0.0115922769062878,0.0090033307152715,3.1600312759344453e-05,48.5791130065918,11.561326423014936,0.0004774860758353,VLASS1QLCIR J122018.13-024058.6,72.0,185.0755711134932,-2.6829605536357404,78.87226085611,185.07571346895523,-2.681561083007567,64.64426,GLEAM J122018-024104,185.07564,-2.6845014,0.7778285,TGSSADR J122017.9-024058,185.07472,-2.6828,953.5,185.0765429,-2.6833544,0.9460558559044812,1.2285428124930409,2.137484196160037,4.168330026247825,185.076664,-2.683354,0.2233557433288033,0.3734222331174731,0.4443506644490446
