,cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,offset,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,snr,masked,noise_ps,hits_ps,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type
1376,ACT-CLJ1031.2+0031,all,0,127.0,92.0,5.120000000000001,2.0,6.0,157.83051081904352,0.4880190684796425,0.0007588533158792,0.0011906142220651,126.0,91.0,3.000000480067665,2.7408368872476424e-05,0.0045579837211458,1.9873051705493874e-05,6.515515327453613,1.1906142220651688,5.869466304779053,0.0,0.0001320854062214,1345210.375,ACT-CLJ1031.2+0031,0.0001325083891695,1.4810126950793847,0.1966475420728481,0.0581085200426764,16654.047106963255,-3.257647974406651e-05,-0.0628263381067681,437.5831659915367,21.0
1465,ACT-CLJ1117.9-0211,all,0,162.0,156.0,5.120000000000001,2.0,6.0,169.499176025,-2.1858074697602774,5.817764307606157e-05,0.0013491934016707,161.0,155.0,3.000001366784646,0.000108969237349,0.0126533627094356,1.636528931012482e-05,7.681783199310303,1.0902650594480363,7.000712394714356,0.0,0.0001528240973129,3380973.5,ACT-CLJ1117.9-0211,0.0002147754002965,1.208655885542505,0.4678746949763714,0.0019053788845912,10382.183739672477,0.0018478826373916,-0.07763612693567,419.5838548881375,21.0
1734,ACT-CLJ1203.9+0126,all,0,127.0,176.0,5.120000000000001,2.0,6.0,181.0092424952575,1.44451189423727,0.0003655122128672,0.0036311674499072,124.0,174.0,1.899952036664437,-8.819951872008621e-05,-0.0061241178275781,3.175218010800449e-05,12.257129669189451,3.529988776944773,12.257129669189451,0.0,0.0001230136258527,4679499.0,ACT-CLJ1203.9+0126,0.0001730102910067,1.2817952812269624,-0.3439825902984319,0.0019057783198658,10902.8290212808,-0.0004872057222297,-0.0761559422177611,412.3550729253982,21.0
1764,ACT-CLJ1210.2+0223,all,0,165.0,171.0,5.120000000000001,2.0,6.0,182.5756023844126,2.3947936335045896,9.198693035472068e-05,0.0007763497974174,164.0,170.0,3.0000069625152146,1.8828778173821577e-05,0.0030640504431611,1.4469065620328724e-05,5.477189540863037,0.509706652692754,5.259081840515137,0.0,0.0001265043683815,4729896.5,ACT-CLJ1210.2+0223,0.0001496344277454,0.969021869939455,0.0974491524184798,0.0,11423.655144069742,-0.0011362786990763,-0.0787495023509809,402.3423602271228,21.0
1787,ACT-CLJ1220.4-0240,all,0,207.0,142.0,5.120000000000001,2.0,6.0,185.07772525335847,-2.682961536955037,0.0004774860758353,0.0115922769062878,205.0,140.0,2.2478049101440742,-1.5724945339279002e-05,0.0090033307152715,3.1600312759344453e-05,48.5791130065918,11.592276906287807,48.5791130065918,0.0,0.0001245074527105,2876001.5,ACT-CLJ1220.4-0240,0.0003651287316773,2.827725335801703,0.0652809293797094,0.000953734346835,10846.556550529844,-0.0010464225050393,-0.0716638375027315,424.5782725138416,21.0
1868,ACT-CLJ1347.7+0124,all,0,140.0,233.0,5.120000000000001,2.0,6.0,206.9508247661672,1.4497733904354173,0.0007207272439603,0.0008703629819292,139.0,233.0,3.0000037717723,8.331999545265769e-05,0.0094144706148347,1.7353885993796407e-05,5.657482147216797,0.870362981929221,4.906380653381348,0.0,0.000110618173494,2691998.0,ACT-CLJ1347.7+0124,0.0001292352372926,1.3871302535586862,0.3515285324706602,0.0905106707317073,12480.055150728524,0.0015834774478632,-0.0667551296236528,418.56032156425545,21.0
114,ACT-CLJ0208.3-0255,all,0,121.0,73.0,3.2,2.0,6.0,32.11484212264383,-2.9860103116238395,0.0009501356053482,0.0020734514581595,120.0,72.0,3.0000082136746555,6.008389220638232e-05,0.0091249653864043,2.665877336919271e-05,10.032310485839844,2.07345145815952,10.032310485839844,0.0,0.0002493596985004,852603.625,ACT-CLJ0208.3-0255,0.0001491939447183,1.2340806785764389,-0.1430157806759814,0.0152441929152613,10295.046913499047,0.0008516911466185,-0.0738261517152224,420.4618764912608,21.0
332,ACT-CLJ0218.1-0214,all,0,48.0,146.0,5.120000000000001,2.0,6.0,34.59105774782377,-2.248744234478427,0.0011162087078469,0.0051399864282228,47.0,145.0,3.0000135002628,-2.887210122007045e-05,0.0055296074772542,3.424068084714649e-05,9.43132495880127,5.139986428222891,8.269810676574707,0.0,0.0005726933013647,200025.46875,ACT-CLJ0218.1-0214,0.0002380242411285,1.1397600698896706,-0.3621146529715848,0.0447981699471,11619.467104919468,-0.0007246473665955,-0.0717159377147939,398.2749970954687,21.0
373,ACT-CLJ0218.5-0114,all,0,164.0,279.0,5.120000000000001,2.0,6.0,34.64362208329916,-1.1789933084095,0.0011346292905301,0.0054205327598215,163.0,279.0,2.9999860830794014,-3.432814842634782e-05,0.0054583194337728,3.457371392874375e-05,8.776860237121582,5.420532759821567,7.34877872467041,0.0,0.0005079803522676,130262.390625,ACT-CLJ0218.5-0114,0.0002477658460091,1.3673383510974495,0.089944088835489,0.0476362874183037,10798.689665765289,-0.0001157603527555,-0.0692618282580264,421.6121935881839,21.0
399,ACT-CLJ0219.8+0022,all,0,164.0,49.0,5.120000000000001,2.0,6.0,34.959277056832164,0.3103194568885645,0.0010958501092028,0.0026872664858815,163.0,48.0,3.0000061405985234,0.0006747207153401,0.0691920732994342,3.902761531657384e-05,7.754005908966064,2.6872664858815467,6.841258049011231,0.0,0.0004765476332977,238330.84375,ACT-CLJ0219.8+0022,0.0002205594655049,1.252850350896983,-0.0785555340406765,0.0362039233620106,11015.77048514348,0.0015728165854709,-0.0691722403060178,417.0814556222345,21.0
