cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,offset,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,snr,masked,noise_ps,hits_ps,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type
ACT-CLJ0200.3+0019,all,0,259.0,169.0,4.0,4.0,7.0,30.038311472780695,0.3285391803005497,0.0009429841632172256,0.0020086800510192462,258.0,168.0,3.0000001645767305,-9.258123857241539e-06,0.002355539104286993,2.3469034500204517e-05,4.297876834869385,2.008680051019246,4.297876834869385,0.0,0.00033857906237244606,544729.0,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,104.0,83.0,6.4,4.0,7.0,30.124423829917152,0.2807615108731745,0.0009502840214332554,0.0009854142686828496,103.0,82.0,3.0000036139308293,-6.410116017642544e-06,0.0009760105633179817,2.4176164866175535e-05,3.3862199783325195,0.9854142686828496,3.063377618789673,0.0,0.0002976659161504358,887926.4375,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,259.0,170.0,5.0,5.0,6.0,30.038311469819895,0.32909473562088193,0.0009437316336256581,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401e-06,0.0033856841604972235,2.358689299924133e-05,4.297876834869385,1.7942062193766646,4.156156539916992,0.0,0.00033934443490579724,522651.1875,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,259.0,170.0,5.0,5.0,7.0,30.038311469819895,0.32909473562088193,0.0009437316336256581,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401e-06,0.0033856841604972235,2.358689299924133e-05,4.297876834869385,1.7942062193766646,4.156156539916992,0.0,0.00033934443490579724,522651.1875,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,258.0,171.0,6.0,6.0,7.0,30.038867031134846,0.32965029393123113,0.0009349236845178298,0.0016028550929910346,257.0,170.0,3.0000030695793902,8.40782507192611e-06,0.003397812426080168,2.3502136648018313e-05,4.297876834869385,1.6028550929910346,3.687901020050049,0.0,0.0003327472950331867,611573.5,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,104.0,83.0,6.0,6.0,7.0,30.124423829917152,0.2807615108731745,0.0009502840214332554,0.0009854142686828496,103.0,82.0,3.0000036139308293,-6.410116017642544e-06,0.0009760105633179817,2.4176164866175535e-05,3.3862199783325195,0.9854142686828496,3.063377618789673,0.0,0.0002976659161504358,887926.4375,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0201.6-0211,all,0,132.0,160.0,3.2,2.0,4.0,30.445338386246096,-2.1988158100847235,0.0002915339090566248,0.0009473144432234347,131.0,159.0,2.9999972697390733,4.797607116517605e-05,0.006141736743510923,1.1588406339002608e-05,9.286065101623535,0.6630299215908693,9.286065101623535,0.0,9.388342732563615e-05,6424196.0,ACT-CLJ0201.6-0211,0.0001673095320848,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0
ACT-CLJ0201.6-0211,all,0,159.0,164.0,3.2,2.0,4.0,30.43032733137873,-2.1965936799523202,3.496041255821966e-05,0.000675549965741401,158.0,163.0,3.000000051249713,3.003935006292579e-05,0.0039786809209112995,1.1206585075002985e-05,9.286065101623535,0.42794198059180477,6.961557388305664,0.0,8.953602809924632e-05,6842543.0,ACT-CLJ0201.6-0211,0.0001673095320848,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0
ACT-CLJ0201.6-0211,all,0,132.0,160.0,3.2,2.0,5.0,30.445338386246096,-2.1988158100847235,0.0002915339090566248,0.0009473144432234347,131.0,159.0,2.9999972697390733,4.797607116517605e-05,0.006141736743510923,1.1588406339002608e-05,9.286065101623535,0.6630299215908693,9.286065101623535,0.0,9.388342732563615e-05,6424196.0,ACT-CLJ0201.6-0211,0.0001673095320848,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0
ACT-CLJ0201.6-0211,all,0,159.0,164.0,3.2,2.0,5.0,30.43032733137873,-2.1965936799523202,3.496041255821966e-05,0.000675549965741401,158.0,163.0,3.000000051249713,3.003935006292579e-05,0.0039786809209112995,1.1206585075002985e-05,9.286065101623535,0.42794198059180477,6.961557388305664,0.0,8.953602809924632e-05,6842543.0,ACT-CLJ0201.6-0211,0.0001673095320848,1.5818999642196256,0.3254381232019716,0.0104811815150071,16536.449781069503,-0.0011598928179451,-0.0655565338241612,432.0940618839256,21.0
