cluster,x,y,theta_1,theta_2,ra_deg,dec_deg,amp_fit,x_center_fit,y_center_fit,sigma_x_fit,sigma_y_fit,theta,offset,snr,masked,rms_central,depth_at_psrcs,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,red_type
ACT-CLJ0248.3+0122,178.0,81.0,4.0,6.0,42.09461292900135,1.3217129200744506,2.5759562845118613,176.40690618674245,79.35035817787791,0.2826619628050848,1.9620462639982361,-496580.6577908073,-0.000410757621653207,5.708963871002197,0.0,0.0050003910437226295,inf,8.0,ACT-CLJ0248.3+0122,0.0347619837679917,0.0347619837679917,-0.0082369915315539,0.4019908116385911,0.0
ACT-CLJ0248.3+0122,225.0,102.0,4.0,6.0,42.06849471055076,1.3333793486159238,0.09749953153708558,224.1753200363463,100.7603882934366,2.918946502677724,3.80129562305083,365991.9873038951,-0.00039953825981046937,3.8059561252593994,0.0,0.0050003910437226295,inf,8.0,ACT-CLJ0248.3+0122,0.0347619837679917,0.0347619837679917,-0.0082369915315539,0.4019908116385911,0.0
ACT-CLJ0248.3+0122,110.0,134.0,4.0,6.0,42.132401101644405,1.351157200489906,0.08984063986585114,112.63980898810802,128.23247635693372,8.824940694006491,4.2744154794268425,-389229.8045946788,-0.0005376245576472499,2.8418023586273193,0.0,0.0050003910437226295,0.02814975008368492,8.0,ACT-CLJ0248.3+0122,0.0347619837679917,0.0347619837679917,-0.0082369915315539,0.4019908116385911,0.0
ACT-CLJ0248.3+0122,152.0,103.0,5.0,6.0,42.109061241645286,1.3339351465525286,0.16427842022016634,152.22886096422985,97.11721436703246,3.7452594560623305,23.10075965455708,282048.06911664456,-0.0011854967719841436,11.9055814743042,0.0,0.0050003910437226295,0.006717116571962833,8.0,ACT-CLJ0248.3+0122,0.0347619837679917,0.0347619837679917,-0.0082369915315539,0.4019908116385911,0.0
ACT-CLJ0248.3+0122,98.0,212.0,5.0,6.0,42.13907026201932,1.3944904355343644,0.4963310125246728,94.58876958090552,213.15075019470072,3.921360046204769,3.033558162712792,-4549600.151991864,-0.0006852342976703847,7.4133524894714355,0.0,0.0050003910437226295,0.009303881786763668,8.0,ACT-CLJ0248.3+0122,0.0347619837679917,0.0347619837679917,-0.0082369915315539,0.4019908116385911,0.0
ACT-CLJ0248.3+0122,141.0,206.0,5.0,6.0,42.11517428640639,1.3911573425276353,0.15454554605929577,140.15987006147932,206.178307032644,3.7955400903137173,9.59687080918273,188618.75472097888,-0.000671727320611672,5.106795310974121,0.0,0.0050003910437226295,0.019473889842629433,8.0,ACT-CLJ0248.3+0122,0.0347619837679917,0.0347619837679917,-0.0082369915315539,0.4019908116385911,0.0
ACT-CLJ0248.3+0122,224.0,102.0,5.0,6.0,42.06905041629428,1.3333793564524234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7005679607391357,0.0,0.0050003910437226295,0.014118333347141743,8.0,ACT-CLJ0248.3+0122,0.0347619837679917,0.0347619837679917,-0.0082369915315539,0.4019908116385911,0.0
ACT-CLJ0248.3+0122,111.0,134.0,5.0,6.0,42.131845391721605,1.351157207033311,0.08987164777457242,112.64579135494643,128.22608877068362,8.811926753406066,4.277732257569652,548303.122466756,-0.000537559865493145,3.3410801887512207,0.0,0.0050003910437226295,0.011862656101584435,8.0,ACT-CLJ0248.3+0122,0.0347619837679917,0.0347619837679917,-0.0082369915315539,0.4019908116385911,0.0
ACT-CLJ0248.3+0122,177.0,83.0,5.0,6.0,42.09516862838037,1.3228240324585319,2.5234699515362125,176.39827992783708,79.34694766529532,1.9695747763389229,0.28448821153655907,-368348.7014324367,-0.0004107397897659733,2.8999533653259277,0.0,0.0050003910437226295,inf,8.0,ACT-CLJ0248.3+0122,0.0347619837679917,0.0347619837679917,-0.0082369915315539,0.4019908116385911,0.0
ACT-CLJ0248.3+0122,190.0,222.0,5.0,6.0,42.087943982797626,1.4000462065908914,1.1293147686868827,194.65581139646147,225.09159315680506,0.39416428279988286,1.4264565884525289,489793.97111753304,-0.0003726661330800713,3.0293195247650146,0.0,0.0050003910437226295,0.016288259997963905,8.0,ACT-CLJ0248.3+0122,0.0347619837679917,0.0347619837679917,-0.0082369915315539,0.4019908116385911,0.0
