cluster,x,y,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type,Source_name,RA,E_RA,DEC,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,Maj,E_Maj,Min,E_Min,PA,E_PA,RMS_noise,Source_code,Mosaic_name,GroupID,GroupSize,Separation
ACT-CLJ0220.9-0332,221.0,154.0,3.0,5.0,35.20522289983762,-3.55339524973658,5.773151367574866E-4,0.0020762812346220016,221.0,154.0,3.0,0.0021695679019520806,7.89004539715595,220.4074984057642,153.57283825140988,-0.3186804762090009,9.214183807373047,0.0,2.135523536708206E-4,1665832.25,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022049.4-033316,35.20604,2.0,-3.55462,2.0,337.6,34.4,312.3,31.5,28.1,0.4,25.9,0.3,9.0,6.6,3.9,S,R08D31,8,15,5.296085872008074
ACT-CLJ0220.9-0332,221.0,154.0,3.0,6.0,35.20522289983762,-3.55339524973658,5.773151367574866E-4,0.0020762812346220016,221.0,154.0,3.0,0.0021695679019520806,7.89004539715595,220.4074984057642,153.57283825140988,-0.3186804762090009,9.214183807373047,0.0,2.135523536708206E-4,1665832.25,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022049.4-033316,35.20604,2.0,-3.55462,2.0,337.6,34.4,312.3,31.5,28.1,0.4,25.9,0.3,9.0,6.6,3.9,S,R08D31,8,15,5.296085872008074
ACT-CLJ0220.9-0332,221.0,154.0,3.0,7.0,35.20522289983762,-3.55339524973658,5.773151367574866E-4,0.0020762812346220016,221.0,154.0,3.0,0.0021695679019520806,7.89004539715595,220.4074984057642,153.57283825140988,-0.3186804762090009,9.214183807373047,0.0,2.135523536708206E-4,1665832.25,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022049.4-033316,35.20604,2.0,-3.55462,2.0,337.6,34.4,312.3,31.5,28.1,0.4,25.9,0.3,9.0,6.6,3.9,S,R08D31,8,15,5.296085872008074
ACT-CLJ0220.9-0332,220.0,153.0,4.0,5.0,35.205779505939,-3.553950824782513,5.691142227861941E-4,0.003216694574803114,220.0,153.0,3.0,0.0033612196572911607,7.860272092890681,220.4065142594599,153.57680663926888,-0.3181171422954398,9.371405601501465,0.0,2.142685989383608E-4,1636490.625,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022049.4-033316,35.20604,2.0,-3.55462,2.0,337.6,34.4,312.3,31.5,28.1,0.4,25.9,0.3,9.0,6.6,3.9,S,R08D31,8,15,2.5838184108182336
ACT-CLJ0220.9-0332,220.0,153.0,4.0,6.0,35.205779505939,-3.553950824782513,5.691142227861941E-4,0.003216694574803114,220.0,153.0,3.0,0.0033612196572911607,7.860272092890681,220.4065142594599,153.57680663926888,-0.3181171422954398,9.371405601501465,0.0,2.142685989383608E-4,1636490.625,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022049.4-033316,35.20604,2.0,-3.55462,2.0,337.6,34.4,312.3,31.5,28.1,0.4,25.9,0.3,9.0,6.6,3.9,S,R08D31,8,15,2.5838184108182336
ACT-CLJ0220.9-0332,220.0,153.0,4.0,7.0,35.205779505939,-3.553950824782513,5.691142227861941E-4,0.003216694574803114,220.0,153.0,3.0,0.0033612196572911607,7.860272092890681,220.4065142594599,153.57680663926888,-0.3181171422954398,9.371405601501465,0.0,2.142685989383608E-4,1636490.625,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022049.4-033316,35.20604,2.0,-3.55462,2.0,337.6,34.4,312.3,31.5,28.1,0.4,25.9,0.3,9.0,6.6,3.9,S,R08D31,8,15,2.5838184108182336
ACT-CLJ0220.9-0332,176.0,145.0,4.0,7.0,35.2302710104282,-3.5583957991692516,2.1353827775821577E-4,-6.726428400725126E-4,176.0,145.0,3.0,-7.028644727721058E-4,3.6184981763418014,174.77633618066903,144.99040381846993,0.28422225620278896,4.129513263702393,0.0,1.5619929763488472E-4,2684338.75,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022055.4-033331,35.23084,2.1,-3.55882,2.1,80.5,10.5,77.1,8.7,27.5,1.5,25.6,1.3,-9.1,30.4,3.9,S,R08D31,9,6,2.548305677998677
ACT-CLJ0220.9-0332,221.0,154.0,5.0,6.0,35.20522289983762,-3.55339524973658,5.773151367574866E-4,0.0020762812346220016,221.0,154.0,3.0,0.0021695679019520806,7.89004539715595,220.4074984057642,153.57283825140988,-0.3186804762090009,9.214183807373047,0.0,2.135523536708206E-4,1665832.25,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022049.4-033316,35.20604,2.0,-3.55462,2.0,337.6,34.4,312.3,31.5,28.1,0.4,25.9,0.3,9.0,6.6,3.9,S,R08D31,8,15,5.296085872008074
ACT-CLJ0220.9-0332,175.0,145.0,5.0,6.0,35.23082763912718,-3.5583958036915297,2.0750931930126523E-4,0.0010831555118784308,175.0,145.0,3.0,0.0011318213506956566,3.613503460589003,174.77393834333364,144.95400700766473,0.2842618370889541,5.049036502838135,0.0,1.5456350229214877E-4,2666842.25,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022055.4-033331,35.23084,2.1,-3.55882,2.1,80.5,10.5,77.1,8.7,27.5,1.5,25.6,1.3,-9.1,30.4,3.9,S,R08D31,9,6,1.5276640792761813
ACT-CLJ0220.9-0332,221.0,154.0,5.0,7.0,35.20522289983762,-3.55339524973658,5.773151367574866E-4,0.0020762812346220016,221.0,154.0,3.0,0.0021695679019520806,7.89004539715595,220.4074984057642,153.57283825140988,-0.3186804762090009,9.214183807373047,0.0,2.135523536708206E-4,1665832.25,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022049.4-033316,35.20604,2.0,-3.55462,2.0,337.6,34.4,312.3,31.5,28.1,0.4,25.9,0.3,9.0,6.6,3.9,S,R08D31,8,15,5.296085872008074
ACT-CLJ0220.9-0332,175.0,145.0,5.0,7.0,35.23082763912718,-3.5583958036915297,2.0750931930126523E-4,0.0010831555118784308,175.0,145.0,3.0,0.0011318213506956566,3.613503460589003,174.77393834333364,144.95400700766473,0.2842618370889541,5.049036502838135,0.0,1.5456350229214877E-4,2666842.25,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022055.4-033331,35.23084,2.1,-3.55882,2.1,80.5,10.5,77.1,8.7,27.5,1.5,25.6,1.3,-9.1,30.4,3.9,S,R08D31,9,6,1.5276640792761813
ACT-CLJ0220.9-0332,221.0,154.0,6.0,7.0,35.20522289983762,-3.55339524973658,5.773151367574866E-4,0.0020762812346220016,221.0,154.0,3.0,0.0021695679019520806,7.89004539715595,220.4074984057642,153.57283825140988,-0.3186804762090009,9.214183807373047,0.0,2.135523536708206E-4,1665832.25,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022049.4-033316,35.20604,2.0,-3.55462,2.0,337.6,34.4,312.3,31.5,28.1,0.4,25.9,0.3,9.0,6.6,3.9,S,R08D31,8,15,5.296085872008074
ACT-CLJ0220.9-0332,176.0,145.0,6.0,7.0,35.2302710104282,-3.5583957991692516,2.1353827775821577E-4,-6.726428400725126E-4,176.0,145.0,3.0,-7.028644727721058E-4,3.6184981763418014,174.77633618066903,144.99040381846993,0.28422225620278896,4.129513263702393,0.0,1.5619929763488472E-4,2684338.75,43,ACT-CLJ0220.9-0332,1.873444567317E-4,1.0615768578110945,-0.0740383784706963,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,TGSSADR J022055.4-033331,35.23084,2.1,-3.55882,2.1,80.5,10.5,77.1,8.7,27.5,1.5,25.6,1.3,-9.1,30.4,3.9,S,R08D31,9,6,2.548305677998677
ACT-CLJ0233.2+0211,54.0,178.0,2.0,4.0,38.3623364208175,2.207792669025837,0.0010586266882518503,0.001931744976900518,54.0,178.0,3.0,0.0020185376753181178,4.362264792561083,53.729802053993055,177.66494548090526,0.3320717386691477,4.65703010559082,0.0,5.445902934297919E-4,195997.0625,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,10.938123670267624
ACT-CLJ0233.2+0211,54.0,178.0,2.0,5.0,38.3623364208175,2.207792669025837,0.0010586266882518503,0.001931744976900518,54.0,178.0,3.0,0.0020185376753181178,4.362264792561083,53.729802053993055,177.66494548090526,0.3320717386691477,4.65703010559082,0.0,5.445902934297919E-4,195997.0625,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,10.938123670267624
ACT-CLJ0233.2+0211,53.0,177.0,2.0,6.0,38.36289236590484,2.2072370912474764,0.0010668541305696956,-0.002051442861557007,53.0,177.0,3.0,-0.002143613548543721,4.351385722557796,53.70586675228948,177.6862916311146,0.3315469725844955,3.6123600006103516,0.0,5.397381028160453E-4,208937.5625,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,8.137702054088182
ACT-CLJ0233.2+0211,53.0,177.0,2.0,7.0,38.36289236590484,2.2072370912474764,0.0010668541305696956,-0.002051442861557007,53.0,177.0,3.0,-0.002143613548543721,4.351385722557796,53.70586675228948,177.6862916311146,0.3315469725844955,3.6123600006103516,0.0,5.397381028160453E-4,208937.5625,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,8.137702054088182
ACT-CLJ0233.2+0211,53.0,177.0,3.0,5.0,38.36289236590484,2.2072370912474764,0.0010668541305696956,-0.002051442861557007,53.0,177.0,3.0,-0.002143613548543721,4.351385722557796,53.70586675228948,177.6862916311146,0.3315469725844955,3.6123600006103516,0.0,5.397381028160453E-4,208937.5625,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,8.137702054088182
ACT-CLJ0233.2+0211,53.0,177.0,3.0,6.0,38.36289236590484,2.2072370912474764,0.0010668541305696956,-0.002051442861557007,53.0,177.0,3.0,-0.002143613548543721,4.351385722557796,53.70586675228948,177.6862916311146,0.3315469725844955,3.6123600006103516,0.0,5.397381028160453E-4,208937.5625,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,8.137702054088182
ACT-CLJ0233.2+0211,53.0,177.0,3.0,7.0,38.36289236590484,2.2072370912474764,0.0010668541305696956,-0.002051442861557007,53.0,177.0,3.0,-0.002143613548543721,4.351385722557796,53.70586675228948,177.6862916311146,0.3315469725844955,3.6123600006103516,0.0,5.397381028160453E-4,208937.5625,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,8.137702054088182
ACT-CLJ0233.2+0211,54.0,177.0,4.0,5.0,38.362336398462354,2.20723711377445,0.001057249223173463,6.502146716229618E-4,54.0,177.0,3.0,6.794286137197174E-4,4.3350373220240295,53.7323038304121,177.64025391749777,-0.3311437186654607,4.525880813598633,0.0,5.308560212142766E-4,204449.96875,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,9.832459783015693
ACT-CLJ0233.2+0211,54.0,177.0,4.0,6.0,38.362336398462354,2.20723711377445,0.001057249223173463,6.502146716229618E-4,54.0,177.0,3.0,6.794286137197174E-4,4.3350373220240295,53.7323038304121,177.64025391749777,-0.3311437186654607,4.525880813598633,0.0,5.308560212142766E-4,204449.96875,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,9.832459783015693
ACT-CLJ0233.2+0211,54.0,177.0,4.0,7.0,38.362336398462354,2.20723711377445,0.001057249223173463,6.502146716229618E-4,54.0,177.0,3.0,6.794286137197174E-4,4.3350373220240295,53.7323038304121,177.64025391749777,-0.3311437186654607,4.525880813598633,0.0,5.308560212142766E-4,204449.96875,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,9.832459783015693
ACT-CLJ0233.2+0211,53.0,177.0,5.0,6.0,38.36289236590484,2.2072370912474764,0.0010668541305696956,-0.002051442861557007,53.0,177.0,3.0,-0.002143613548543721,4.351385722557796,53.70586675228948,177.6862916311146,0.3315469725844955,3.6123600006103516,0.0,5.397381028160453E-4,208937.5625,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,8.137702054088182
ACT-CLJ0233.2+0211,53.0,177.0,5.0,7.0,38.36289236590484,2.2072370912474764,0.0010668541305696956,-0.002051442861557007,53.0,177.0,3.0,-0.002143613548543721,4.351385722557796,53.70586675228948,177.6862916311146,0.3315469725844955,3.6123600006103516,0.0,5.397381028160453E-4,208937.5625,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,8.137702054088182
ACT-CLJ0233.2+0211,52.0,177.0,6.0,7.0,38.36344833333588,2.207237068512876,0.001076460675794977,0.010651824995875359,52.0,177.0,3.0,0.01113040816576532,2.3656208515167236,52.0,177.0,3.0,2.9342193603515625,0.0,5.47330710105598E-4,203601.90625,62,ACT-CLJ0233.2+0211,2.107550476646E-4,1.0103980807609414,0.1733468932646729,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,TGSSADR J023327.5+021221,38.36473,2.1,2.20592,2.1,74.5,8.9,64.7,7.1,28.7,1.4,26.4,1.2,38.9,23.0,2.9,S,R08D34,10,13,6.615671314787639
ACT-CLJ0248.0-0331,173.0,172.0,2.0,3.0,42.013011801460344,-3.5288105550597826,1.4414547275228319E-4,0.0028083131182938814,173.0,172.0,3.0,0.002934489749501874,11.918129758696718,172.8666065417001,171.6716970410121,0.4023722969173181,14.154687881469727,0.0,1.1749441182473674E-4,5002494.0,93,ACT-CLJ0248.0-0331,1.378565448496E-4,1.0642720359390871,0.0121443255931911,0.0019055967376183,3046.447120326613,-0.0031478979615967,1.014941025848138,20.0,TGSSADR J024803.4-033143,42.01431,2.0,-3.52889,2.0,224.8,23.0,209.8,21.2,27.9,0.4,26.1,0.4,-6.4,8.8,2.9,S,R09D30,11,15,4.669550235273906
ACT-CLJ0248.0-0331,173.0,172.0,2.0,4.0,42.013011801460344,-3.5288105550597826,1.4414547275228319E-4,0.0028083131182938814,173.0,172.0,3.0,0.002934489749501874,11.918129758696718,172.8666065417001,171.6716970410121,0.4023722969173181,14.154687881469727,0.0,1.1749441182473674E-4,5002494.0,93,ACT-CLJ0248.0-0331,1.378565448496E-4,1.0642720359390871,0.0121443255931911,0.0019055967376183,3046.447120326613,-0.0031478979615967,1.014941025848138,20.0,TGSSADR J024803.4-033143,42.01431,2.0,-3.52889,2.0,224.8,23.0,209.8,21.2,27.9,0.4,26.1,0.4,-6.4,8.8,2.9,S,R09D30,11,15,4.669550235273906
ACT-CLJ0248.0-0331,173.0,172.0,2.0,5.0,42.013011801460344,-3.5288105550597826,1.4414547275228319E-4,0.0028083131182938814,173.0,172.0,3.0,0.002934489749501874,11.918129758696718,172.8666065417001,171.6716970410121,0.4023722969173181,14.154687881469727,0.0,1.1749441182473674E-4,5002494.0,93,ACT-CLJ0248.0-0331,1.378565448496E-4,1.0642720359390871,0.0121443255931911,0.0019055967376183,3046.447120326613,-0.0031478979615967,1.014941025848138,20.0,TGSSADR J024803.4-033143,42.01431,2.0,-3.52889,2.0,224.8,23.0,209.8,21.2,27.9,0.4,26.1,0.4,-6.4,8.8,2.9,S,R09D30,11,15,4.669550235273906
