cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,int_flux_err_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps
ACT-CLJ0857.8+0310,166.0,269.0,3.2,2.0,6.0,134.46357928524796,3.2353935187989684,0.0010382256316080456,0.016320074079838768,165.99999516111885,268.99997201729406,2.9998466886078354,0.9227841242585734,3.1911140499244874,50.992509428036236,166.47453148598558,268.6091878569636,2.556595038187973,44.49653625488281,0.0,0.0002973299997393042,824714.375
ACT-CLJ0859.0-0119,165.0,162.0,3.2,2.0,6.0,134.75373449188174,-1.3348456615551503,2.9088821562552194e-05,0.0039797347284342855,164.99999821271487,161.999998533195,2.9999932664061943,0.22504768669299505,3.161326360553023,29.43658281109973,164.66643831985022,161.80417567128237,2.669816911376931,32.35267639160156,0.0,0.00012355342914815992,4578817.5
ACT-CLJ0859.4+0308,175.0,173.0,3.2,2.0,6.0,134.86932324522832,3.1499809630456426,0.0001651215923193247,0.0017824123147526748,174.99999968229653,172.99999987715296,2.9999993045825533,0.10079299507768856,3.173810648007496,14.200072772715025,174.55470544244727,173.2553214036529,2.556363346179704,15.146773338317871,0.0,0.00011904272832907736,4789265.0
ACT-CLJ0901.5+0301,213.0,113.0,5.120000000000001,2.0,6.0,135.35799583851698,2.9902675617545826,0.0006857671044610391,0.003398596970522761,212.999999546955,112.99999994970926,2.9999909471823973,0.19218497106968016,3.2234018255512553,11.62621396099216,213.3741508770099,113.36775966886994,3.6423101549306733,14.738466262817383,0.0,0.00020239801960997283,1665719.0
ACT-CLJ0901.7+0408,238.0,161.0,3.2,2.0,6.0,135.40452101853452,4.138915803250638,0.000736980468217435,0.017118562116368266,237.99998065448435,161.00000030107853,2.9998994989266214,0.9679670239840671,3.2895290993686834,61.11923055747437,237.80346563441395,161.45109818130516,2.7139754575954482,48.876251220703125,0.0,0.00024034199304878712,1323443.5
ACT-CLJ0903.4-0136,239.0,235.0,3.2,2.0,6.0,135.83023790016222,-1.564655987223336,0.001028810390897029,0.0035699000079739565,238.99999918173322,234.9999987030618,2.9999921040625064,0.20187202685368777,3.330876149216433,7.251090424714434,239.02450406198483,234.8227676536533,2.5267759763389077,8.156469345092773,0.0,0.0004570396267808974,307533.5625
ACT-CLJ0904.3+0206,162.0,161.0,3.2,2.0,6.0,136.080947876,2.1036839082410097,9.69627385667621e-06,0.001588657072570597,161.99999981141826,160.99999993386012,2.999998678536028,0.08983636184497325,3.3883520276606562,10.096048474290159,162.02113811462158,161.2771631994023,2.5121843868395723,11.143421173095703,0.0,0.00014542450662702322,3132140.0
ACT-CLJ0904.3+0206,258.0,87.0,5.120000000000001,2.0,6.0,136.02757999477242,2.0625719095183808,0.0011812348556310402,0.003794443499845805,258.0000001891955,86.9999992650639,3.0000011767454167,0.21457089315449926,3.388111270198571,5.319760890395892,258.14372132353816,86.60918500361619,2.971971221235105,5.560536861419678,0.0,0.0005802405066788197,178523.53125
ACT-CLJ0905.6+0434,194.0,193.0,3.2,2.0,6.0,136.39798225652768,4.591135574862508,0.00043200134756613397,0.016541490038265366,193.99997872268946,192.9999764270344,2.999877547732421,0.9353228648932562,3.478272547666292,76.63334295273837,193.88581063679806,192.884463109382,2.67825678724481,53.4095458984375,0.0,0.00019221003458369523,2117953.5
ACT-CLJ0905.6+0434,132.0,141.0,5.120000000000001,2.0,6.0,136.43253690333134,4.562246714003681,0.0003550743033797462,0.003361813735145008,132.00000002170322,140.99999889573428,2.999992483388418,0.19010513536068366,3.4851190438060926,16.14223330623461,132.534929782263,140.83314662807854,2.700272084409104,10.581396102905273,0.0,0.000185050826985389,2192621.75
ACT-CLJ0907.8+0057,161.0,234.0,5.120000000000001,2.0,6.0,136.97272360758825,0.9912657467394668,0.00069819893623759,0.004272757320627508,160.99999899737094,233.99999892214925,2.99999604453014,0.24161809701967,3.566119956838349,13.454282541329853,160.94288034163063,233.80856357151686,3.0304003574507496,17.168109893798828,0.0,0.0002549363416619599,1014372.125
ACT-CLJ0914.7+0011,257.0,161.0,5.120000000000001,2.0,6.0,138.6396658086351,0.185040250845493,0.0009211967874427629,0.001964025908606085,256.99999982146716,161.0000002761138,2.999996771775584,0.11106280956269596,3.26797837152875,6.113235246945363,257.1315893373419,161.7845252868615,2.6108644755644432,6.978453159332275,0.0,0.0002920033293776214,530387.375
ACT-CLJ0915.9-0132,201.0,260.0,5.120000000000001,2.0,6.0,138.9648066571964,-1.497196927779451,0.0010227152488873979,0.0020133429404928962,200.99999999486738,259.99999996773994,3.000000244056697,0.11385187956237525,3.2595576965688395,4.455478603208655,201.2290129934633,259.70046796930046,3.4382366190287765,4.8202409744262695,0.0,0.00034771632635965943,409641.875
ACT-CLJ0915.9-0132,155.0,163.0,5.120000000000001,2.0,6.0,138.99037102743551,-1.5510859050873116,6.856300985718445e-05,0.0008281592989828514,154.99999994397544,162.99999996517616,3.0000000350208715,0.04683130614774087,3.2594110828198155,5.97896665071704,154.12354398041538,162.69265663192343,2.8728637277033355,6.230808258056641,0.0,0.00012595714360941201,3537822.5
ACT-CLJ0916.1-0024,153.0,176.0,3.2,2.0,6.0,139.04462719688794,-0.39996093596870647,0.00016137815789730843,0.017729647192914783,152.99996185373533,175.99999506661328,2.999878901235957,1.0025069888903113,3.2309141620129616,121.14200988472355,152.56094210843284,176.36022741092341,2.7499318556621772,58.50830841064453,0.0,0.00012822236749343574,3627053.5
ACT-CLJ0916.7+0155,197.0,161.0,3.2,2.0,6.0,139.17752031301384,1.9224774519319374,0.0003395080618900727,0.0038757876941406906,196.9999980259702,160.9999985308888,2.999992700819928,0.2191695641328479,3.2633521760681066,23.706939310667394,196.63089087751447,160.78930112712683,2.7975576887803073,26.960561752319336,0.0,0.00014411256415769458,2963456.0
ACT-CLJ0918.7+0211,226.0,210.0,3.2,2.0,6.0,139.65402355415785,2.2160411621891836,0.0007757017529751471,0.016563684411202217,225.99996532343044,209.9999992915979,2.9998714039597805,0.9365739884265201,3.1195826031141216,82.28659469913232,225.53221751266807,210.44638049466053,2.623313357444259,54.36943817138672,0.0,0.0001839718024712056,2060209.25
ACT-CLJ0918.7+0211,139.0,224.0,3.2,2.0,6.0,139.7023931191294,2.2238193095100467,0.0006412015332254917,0.0026001965148682556,138.9999997550907,223.99999888794443,2.9999933249277353,0.14703699451810495,3.1277712586910877,16.541042366897585,139.21697130306438,223.5889351903878,2.542526862809606,10.879907608032227,0.0,0.0001487217377871275,3147150.5
ACT-CLJ0920.4+0134,168.0,264.0,5.120000000000001,2.0,6.0,140.09937222324925,1.6327869041785175,0.0009907292387736383,0.003950423143572003,167.99999983801902,263.99999871447375,2.9999932897626884,0.22339016653813096,3.075588870723923,14.418168657053862,168.28739411368136,263.76546375838586,2.75320550302729,16.951892852783203,0.0,0.00022629326849710196,1445992.75
ACT-CLJ0921.0-0148,169.0,159.0,3.2,2.0,6.0,140.26689163331278,-1.813460109067964,7.384462153254052e-05,0.0016818610497031752,168.99999964809177,158.99999961153424,2.9999987565517157,0.09510692288550456,3.0930672330025524,14.551223656259769,168.60412905923226,158.53432488904988,2.7126357684548803,16.21649742126465,0.0,0.00010693822696339339,4889246.5
ACT-CLJ0922.1+0346,170.0,205.0,3.2,2.0,6.0,140.53273145951556,3.7946794535798207,0.00042409419900560206,0.017056691088574095,169.99997422097795,204.9999956576007,2.999870876159985,0.9644501298349004,3.0619649161309,127.25359838475036,169.8348474981614,205.3981713980935,2.700213579568055,58.795162200927734,0.0,0.00011852064199047163,4200948.0
ACT-CLJ0922.1-0027,245.0,160.0,5.120000000000001,2.0,6.0,140.49478095480808,-0.4618218149144115,0.0008050241674739554,0.003893504806755845,244.99999935572407,159.99999966330452,2.9999993515996146,0.22017241458388964,3.0518045460512293,17.645523880014462,244.39190579736152,159.8942414128399,2.8045690093360194,19.736772537231445,0.0,0.00019071548013016582,1886075.5
ACT-CLJ0930.4+0216,241.0,231.0,5.120000000000001,2.0,6.0,142.5640159405705,2.315416522620101,0.0010170458770184208,0.001875261409872487,241.00000004284706,231.00000007568795,3.0000002723841677,0.10604355369507265,3.058951218893429,5.80852445075569,241.53359774982755,232.20138201556847,2.991859085898511,4.978275299072266,0.0,0.0002619490260258317,1044251.8125
ACT-CLJ0935.2+0048,184.0,161.0,3.2,2.0,6.0,143.8002460762486,0.7972863328377586,0.00021353827775833393,0.017640949540785357,183.99997472979834,160.9999865721608,2.9998676245175524,0.9974841605095067,3.047228842587731,140.70826890983597,183.88526372452174,161.18709993520403,2.743824093983389,61.37641525268555,0.0,0.00010844167263712734,6132198.5
