cluster,x,y,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma_x_fit,sigma_y_fit,theta,offset,amp_snr,x_snr,y_snr,sigma_x_snr,sigma_y_snr,theta_snr,offset_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type,RA,DEC,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,Separation
ACT-CLJ0229.6-0336,113.0,137.0,3.0,4.0,37.43711638909163,-3.6238235246321993,5.33383152212123E-4,0.002235845219760995,113.00000000172228,136.99999996762995,3.0000003775128072,3.000000322245528,0.0,1.8543962249605925E-5,4.751592908847869,114.26611957711349,138.42119234019663,7.18247738490515,5.087402239917237,0.46639553622911767,0.009390602909840567,7.223400592803955,0.0,-1.2750731548294425E-4,2.5368487695232034E-4,55.0,ACT-CLJ0229.6-0336,5.826205048756E-4,1.0210061588510917,0.0338701328931484,0.0152415790275872,2905.983526190038,0.0138177705299789,1.0670816907166936,20.0,37.436884972959774,-3.6257303619335755,0.13890071,1.8,1.7303226,0.10493348,1.46,0.0,90.9,5.95,5.59,178.4,02285-03412T,2,0.76508164,17.91958,s,1,0.80139154,15.247,2009.2495,2454923.5858310675,15.930152881852152,2454912.436493056,2454946.3496527784,6.914781813780192
ACT-CLJ0231.7-0453,219.0,164.0,2.0,6.0,37.9035855570199,-4.883278495379112,5.530276689527082E-4,0.001760705111061355,218.99999999467119,164.00000001187732,2.9999998859192023,2.9999998865822834,0.0,5.9546847148190615E-6,4.774924026988965,219.6480659946923,163.60455125465873,3.4833505760906016,3.8851233029191796,-0.5504156910366804,0.002333577717321092,5.138631343841553,0.0,-8.243693446274847E-5,2.674618153832853E-4,57.0,ACT-CLJ0231.7-0453,5.304322444124E-4,0.9617526469176336,-0.0095353407151283,0.0085736332199708,3042.038509194208,-0.0094540727613788,1.0172589854705978,20.0,37.90565451607609,-4.8869640657641575,0.014053002,21.89,36.264164,0.17213915,5.49,3.85,66.0,7.96,7.2,41.1,02315-04595T,0,99.0,99.0,-,0,99.0,99.0,2009.236,2454918.6192825786,10.555905091942668,2454914.434756945,2454950.338657408,15.202479953823325
ACT-CLJ0231.7-0453,187.0,171.0,3.0,4.0,37.92142817829151,-4.879390210344938,2.5763639517678523E-4,0.0017153326957212536,186.99999986011724,171.00000003609222,2.999999955039862,3.0000000827451845,0.0,5.999266985097768E-6,6.933882164469888,186.8553265252653,171.58183506895355,2.223202628449228,4.232007972345899,0.6266550222085188,0.0022916029106146906,8.654935836791992,0.0,-5.478985840454698E-4,2.0800373749807477E-4,57.0,ACT-CLJ0231.7-0453,5.304322444124E-4,0.9617526469176336,-0.0095353407151283,0.0085736332199708,3042.038509194208,-0.0094540727613788,1.0172589854705978,20.0,37.92095072472233,-4.882188909760672,0.014053002,29.78,58.027134,0.1721851,8.69,2.75,145.3,10.63,6.33,149.6,02315-04595T,3,2.068249,19.57348,g,1,2.6141174,14.333,2009.2383,2454919.480184643,11.529522628822459,2454914.434756945,2454950.338657408,10.219835126054992
ACT-CLJ0233.2+0211,52.0,177.0,6.0,7.0,38.36344833333588,2.207237068512876,0.001076460675794977,0.0026403071050646737,52.00000214005152,177.0000011370614,2.9999902597424826,2.9999860591549194,0.0,1.3976775291258318E-5,3.2630404945544935,50.869697706770346,178.31763441104155,7.25080552498163,2.4933117852974607,0.32007036747762446,0.018726133501095952,2.9342193603515625,0.0,-0.001718910876661539,5.47330710105598E-4,61.0,ACT-CLJ0233.2+0211,5.19601261948E-4,0.9901645846239284,0.035079226101116,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,38.36501205851613,2.206136160875309,0.014053002,2.73,3.533589,0.10329717,5.07,0.0,134.6,7.87,5.69,146.4,02345+02230T,0,99.0,99.0,-,0,99.0,99.0,2009.2744,2454932.667198902,37.1190895196042,2454879.529780093,2454970.307407408,6.881189562566559
ACT-CLJ0245.7-0028,223.0,119.0,2.0,6.0,41.39832264804121,-0.5016078092626258,7.236563790542971E-4,0.0010607967612617762,222.99999998659382,118.99999989126839,3.000000092493171,3.000000059009833,0.0,9.125374627023163E-8,2.466426458066503,226.56996260134036,120.78268509556153,10.886941327122063,4.759716060007901,-0.37896304606033565,-0.003161000259611911,3.837841272354126,0.0,-6.198689807206392E-4,2.0131751080043614E-4,88.0,ACT-CLJ0245.7-0028,3.097064415408E-4,0.9959809323863452,-0.0049250865101495,0.0,2932.033444371892,-0.0073099129003205,1.0662784371408338,20.0,41.39844250289136,-0.5021472368471394,0.014053002,2.37,3.499104,0.120166205,6.02,1.33,47.9,8.47,6.04,38.2,02465-00390Z,2,5.6025376,19.387022,g,0,99.0,99.0,1999.2263,2451262.1167989313,1229.4551867809269,2450029.8087384263,2452495.0215277784,1.9892930342649235
ACT-CLJ0248.0-0331,173.0,172.0,2.0,3.0,42.013011801460344,-3.5288105550597826,1.4414547275228319E-4,0.0014375158088162474,172.99999972708767,171.9999996386818,2.9999991091204756,2.9999989447700113,0.0,-3.4398423780083397E-6,11.544954177318015,172.96555888590774,171.6389324162074,2.949708955243331,2.255524042255403,0.4413846447785053,-0.00441710140277515,14.154687881469727,0.0,2.8928567189723253E-5,1.1749441182473674E-4,92.0,ACT-CLJ0248.0-0331,3.445120954961E-4,0.9683057449570316,0.0070139275935541,0.0019055967376183,3046.447120326613,-0.0031478979615967,1.014941025848138,20.0,42.01411916977089,-3.5290639752708546,0.014053002,38.67,41.36744,0.120004795,1.76,1.26,120.8,6.56,5.64,176.6,02495-03412T,1,0.5949554,15.494929,g,1,0.4440241,14.116,2009.275,2454932.899636191,2.631544130719497,2454932.38556713,2454946.3726851856,4.0822164978399575
ACT-CLJ0248.3-0337,166.0,255.0,2.0,3.0,42.09002809037704,-3.5725880469160702,9.025869262778792E-4,0.004309970267680367,165.9999998609676,254.99999990491125,2.999996150643907,2.999995730465914,0.0,-3.7847585366089897E-7,14.93622360481461,166.5328839968942,255.47156683281258,2.8540543168900094,2.660565475194585,-0.46574721838658817,-0.008222268174018037,17.711381912231445,0.0,1.1521515261847526E-4,2.4595129070803523E-4,96.0,ACT-CLJ0248.3-0337,3.550118055737E-4,1.056046146173353,-0.0148106973355011,0.017152495211595,2988.841378866294,0.0034770250491019,1.0329748915958987,20.0,42.091218345122,-3.573777808672343,0.014053002,8.78,8.502087,0.12485273,1.64,0.0,85.4,5.94,5.63,11.0,02495-03412T,1,0.18827783,17.09985,g,1,0.1700464,14.901,2009.2692,2454930.7663951376,7.998345887568538,2454913.460682871,2454946.3726851856,6.0526445916275815
ACT-CLJ0839.5-0140,254.0,125.0,4.0,5.0,129.82928325250154,-1.7006059666605922,9.614966130798211E-4,0.0022277692451162607,254.00000005640553,125.00000011702897,3.0000003780668214,3.000000734035871,0.0,4.7545288880302684E-6,3.9653582905688394,254.44287041463187,125.02073249557539,4.655413659013777,5.99386396972874,1.1193168706122487,0.02234949792498151,4.1262054443359375,0.0,-0.0013930301647633314,3.426605835556984E-4,110.0,ACT-CLJ0839.5-0140,3.476235608672E-4,1.0258801466065952,0.0612695629423467,0.0590628066264658,3005.647058613049,0.0705720349176723,1.035257694778398,20.0,129.82630963025642,-1.698211064238015,0.014053002,11.52,38.46474,0.2001847,12.56,5.52,98.2,13.68,8.43,99.0,08390-01440G,0,99.0,99.0,-,0,99.0,99.0,1998.6586,2451054.882487626,1.2038697845380595,2451050.2221527784,2451056.159594908,13.741540087448346
ACT-CLJ0839.5-0150,95.0,104.0,2.0,3.0,129.9170181811995,-1.8763286169158986,8.592559830680204E-4,0.0034218280739205186,94.99999840921274,103.99999949230818,2.999997857403516,2.9999984289860318,0.0,-1.3196269680151335E-6,12.940087807118271,94.54930712729113,104.19749860803006,2.3826724743773395,2.850196067118181,-0.26745643526447604,-0.005793087701616733,15.475653648376465,0.0,5.913490895181894E-4,2.5097746402025223E-4,111.0,ACT-CLJ0839.5-0150,3.114800897855E-4,0.9338379171238436,-0.0011014858573108,0.0047643096038953,3085.4859953815185,-0.0202552416406746,1.0087352599504062,20.0,129.91623590086883,-1.8747972809356437,0.031924523,1.83,2.2701266,0.19467472,3.37,2.45,171.4,7.23,5.94,177.3,08390-01440G,2,0.637455,19.95602,g,0,99.0,99.0,1998.6609,2451055.703953493,0.5006280348784793,2451055.1608217596,2451056.201608797,6.189798666511986
ACT-CLJ0839.5-0150,71.0,171.0,2.0,3.0,129.93035759962282,-1.8391060771178425,8.866655619213469E-4,0.0016365768204198963,70.99999988502383,170.9999996916491,2.999999177048236,2.999999248661423,0.0,-3.5742859219071203E-7,7.091550155279264,71.39416522111686,170.70054927575183,2.133097770052429,2.537223239652368,-0.5972287292489756,-0.0028321853441315792,8.564669609069824,0.0,-9.117425070144236E-4,2.4107939680106938E-4,111.0,ACT-CLJ0839.5-0150,3.114800897855E-4,0.9338379171238436,-0.0011014858573108,0.0047643096038953,3085.4859953815185,-0.0202552416406746,1.0087352599504062,20.0,129.9294454867236,-1.8377610070480728,0.10910944,1.48,0.91447157,0.1942121,0.0,0.0,122.0,5.23,4.08,163.9,08390-01440G,2,0.2671666,21.904852,g,0,99.0,99.0,1998.66,2451055.4079891425,1.2062097880890554,2451050.2221527784,2451056.201608797,5.849647950452378
