cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,int_flux_err_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type
ACT-CLJ0201.6-0211_242_04_s034,156.0,171.0,5.120000000000001,2.0,10.0,30.428911042918273,-2.197522989260896,0.00010488123733208685,0.0006932225263481186,155.99999983728995,170.99999998358297,2.9999996197574896,0.0011200229225898975,0.008639697756947123,5.372103889193997,155.09985568072995,171.3839613730563,2.4282404681549554,4.584926605224609,0.0,0.00013829930685460567,4044108.0,,,,,,,,,,
ACT-CLJ0201.6-0211_242_04_s034,128.0,168.0,5.120000000000001,2.0,10.0,30.44447806762012,-2.199189540112098,0.0003347672652227937,0.000901781453056317,128.00000000209948,167.9999999481268,2.999999542551728,0.0014569864772343813,0.011238841930566425,5.356303575842764,128.62911792401167,168.0284692542426,2.6940246710426092,4.677637577056885,0.0,0.00014932657359167933,3513844.0,,,,,,,,,,
ACT-CLJ0201.6-0211_242_04_s034,146.0,226.0,8.192000000000002,2.0,10.0,30.434470504773955,-2.1669674151473037,0.0006396600933535578,0.0008004732969123014,146.0000000314226,226.00000000045137,3.000000176098109,0.001293305886509732,0.009976235647074443,2.278013695987168,145.60265666730984,226.16718526078608,6.969668821770276,2.313283681869507,0.0,0.00017816084437072277,2533612.75,,,,,,,,,,
ACT-CLJ0201.6-0211_242_04_s034,160.0,107.0,8.192000000000002,2.0,10.0,30.426687211712757,-2.233078546068637,0.0005336474867711282,0.0009463729790128799,159.99999999434172,107.00000000880121,2.999999916552995,0.00152903230817593,0.011795396765105354,1.9085073600345612,161.2969698286425,98.43559727201212,16.69529384421145,3.4562196731567383,0.0,0.0001777519064489752,2696158.5,,,,,,,,,,
ACT-CLJ0201.6-0503_298_01_s012,104.0,241.0,8.192000000000002,2.0,10.0,30.44625392316026,-5.012629832278095,0.0009502840214333074,0.0033549919540622184,103.99999976562702,241.0000000940953,3.000001885169131,0.005420587799652573,0.061928328249549476,2.6670491710939728,102.41600756826892,238.3704085699172,10.2841601347717,3.6767990589141846,0.0,0.0005979703273624182,291043.5625,,,,,,,,,,
ACT-CLJ0201.6-0503_298_01_s012,173.0,159.0,8.192000000000002,2.0,10.0,30.407773001866865,-5.058186146220249,0.00011055453121725718,0.0016143801622092724,173.0,159.0,3.0,0.0026083157674192973,0.005216631534838595,2.957164579267062,173.3903921751697,160.34765983966417,12.521058218905278,3.5352447032928467,0.0,0.0002734207082539797,1499839.625,,,,,,,,,,
ACT-CLJ0201.6-0503_298_01_s012,90.0,166.0,8.192000000000002,2.0,10.0,30.454064140048406,-5.054296051178981,0.0006992081374997251,0.0014317334716576102,90.0000000067744,166.00000002171018,2.999999811748974,0.00231321754789443,0.02642988407379049,1.8497146853603412,89.84872456933807,168.79625986364618,6.711668121828765,2.2522270679473877,0.0,0.0004196232184767723,632726.875,,,,,,,,,,
ACT-CLJ0201.6-0503_298_01_s012,131.0,123.0,8.192000000000002,2.0,10.0,30.43119809209022,-5.078185944506277,0.0004830651730261745,0.001540509269902378,131.00000032355646,123.00000047914293,2.9999921904107243,0.0024889513589432806,0.028456038246532023,2.385021812449863,130.02542260702265,122.88301871817237,9.197306208668861,2.5254008769989014,0.0,0.00035166708403266966,1012104.375,,,,,,,,,,
ACT-CLJ0201.6-0503_298_01_s012,53.0,204.0,8.192000000000002,2.0,10.0,30.47469793703648,-5.033183357404672,0.0011326388584978536,0.0036904149901161123,53.000000065153124,204.00000006252333,3.000000645877194,0.00596251860440182,0.06813317144158156,1.7915062189308544,51.31268805413275,206.57900300600284,9.18120269623855,1.596821665763855,0.0,0.0009740500245243311,125861.421875,,,,,,,,,,
ACT-CLJ0201.6-0503_298_01_s012,146.0,249.0,8.192000000000002,2.0,10.0,30.42283095639763,-5.0081861248974935,0.0008577227702921975,0.0015802362341577668,146.00000004186566,248.99999991704993,3.000000587137885,0.002553151231442036,0.029168784777426817,2.0908860720269318,146.26250046252312,250.4971613498336,6.3788818951246435,2.2164528369903564,0.0,0.00045744323870167136,579140.1875,,,,,,,,,,
ACT-CLJ0201.6-0503_298_01_s012,185.0,289.0,5.120000000000001,2.0,10.0,30.401081702130718,-4.9859638624565745,0.0012514574129063741,0.004863083436878178,184.9999999146188,289.0000005843885,3.000000983413957,0.007857173805565026,0.08975505358196463,4.274798082620157,185.32933980929897,289.59879806642806,2.974504725727749,3.904181957244873,0.0,0.0008643233450129628,149380.140625,,,,,,,,,,
ACT-CLJ0201.6-0503_242_04_s035,178.0,89.0,8.192000000000002,2.0,10.0,30.403780254950835,-5.099687110540973,0.0007246301262440797,0.000812504365353081,177.99999990965978,88.99999987214444,2.999999444517992,0.0013127435606847227,0.009778983992094857,2.5057231795748236,177.46557019204988,87.81495597922094,5.717677535699301,2.9366912841796875,0.0,0.00020454556215554476,1601691.0,,,,,,,,,,
ACT-CLJ0203.0-0042_298_01_s013,163.0,279.0,5.120000000000001,2.0,10.0,30.753533765227125,-0.6436905503819519,0.0011345049908367353,0.01629487161221761,162.99997838003975,278.9999971722651,2.9999072568140117,0.026325610120774424,0.2883375028543754,20.587964363879628,162.61035467467477,279.3363487749353,2.8420889545808756,19.924671173095703,0.0,0.0006591881392523646,228788.96875,,,,,,,,,,
ACT-CLJ0203.0-0042_298_01_s013,106.0,264.0,8.192000000000002,2.0,10.0,30.785202463698155,-0.6520237784132696,0.0011282725465489645,0.004281255796999027,105.99999926112012,264.0000028294446,3.0000029298450586,0.006917137036580474,0.07595669331316494,2.63073997127201,104.5568653245182,264.460193922149,7.127820658265276,2.4802017211914062,0.0,0.0008267844677902758,137382.34375,,,,,,,,,,
ACT-CLJ0203.0-0042_298_01_s013,191.0,286.0,8.192000000000002,2.0,10.0,30.737977251537977,-0.6398016414443969,0.0012347809215700898,0.0035776611984049264,190.9999995542731,286.00000008851123,3.0000027981845734,0.005780353191001248,0.06348636086170377,3.2723629980518947,189.32856876394817,285.6701473495864,5.806847314966006,2.460817337036133,0.0,0.0007584025152027607,233810.09375,,,,,,,,,,
ACT-CLJ0203.0-0042_298_01_s013,245.0,217.0,3.2,2.0,10.0,30.707975029895408,-0.6781347510821987,0.0009654486850175368,0.0034558306248344455,245.00000050588952,217.00000050974637,2.9999872104904624,0.005583456030928004,0.06143292139778561,4.828771245440868,244.42416212550998,216.72017583850456,2.686261735307922,3.2224037647247314,0.0,0.000658620847389102,226244.015625,,,,,,,,,,
ACT-CLJ0203.0-0042_298_01_s013,219.0,252.0,8.192000000000002,2.0,10.0,30.72242061061688,-0.6586904349753424,0.0010329600289578716,0.00198682796004403,219.00000007143413,252.00000015146307,3.000000938516065,0.0032100728558711847,0.0352570998237429,2.1119150481581594,221.5395863289718,253.80004220189974,7.586969831205604,1.3773447275161743,0.0,0.0006025313050486147,249575.453125,,,,,,,,,,
ACT-CLJ0203.0-0042_298_01_s013,148.0,199.0,8.192000000000002,2.0,10.0,30.761867693905838,-0.6881349625890096,0.0003835853592975645,0.000671387094830238,147.99999999971837,199.00000009875026,2.9999994602973636,0.0010847438270116198,0.01191473174026633,1.529161806613762,167.0068529147761,170.262950559726,19.318490968849872,0.8416159152984619,0.0,0.00025919725885614753,1462692.25,,,,,,,,,,
ACT-CLJ0203.0-0042_298_01_s013,109.0,52.0,3.2,2.0,10.0,30.783536439091204,-0.769801511861599,0.0011839379112322194,0.00687034872965109,109.00000019437458,51.99999890758757,2.999991592202308,0.011100197396789678,0.12181975581172491,5.803430936254912,109.51631567941138,52.534626054056474,2.6975865547028093,6.4903764724731445,0.0,0.0010021538473665714,135149.796875,,,,,,,,,,
