cluster,x,y,theta_1,theta_2,ra_deg,dec_deg,amp_fit,x_center_fit,y_center_fit,sigma_x_fit,sigma_y_fit,theta,offset,snr,masked,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,red_type
ACT-CLJ0200.3+0019,198.0,256.0,7.0,13.0,30.075210583977125,0.38594987310897644,0.003074179524969841,202.32859208052025,259.898452604121,9.74171436661556,0.8366812388203599,-2746.345835249365,-2.3190839632858714e-06,2.3456406593322754,0.0,,,,,,,
ACT-CLJ0200.3+0019,175.0,198.0,7.0,13.0,30.087988669542444,0.3537276844587686,0.0005574805719635294,173.30589585794405,197.29716796322674,5.444617845380859,3.2588539983625457,7507.1590173018385,-1.4119530131063305e-06,2.4909472465515137,0.0,,,,,,,
ACT-CLJ0200.3+0019,175.0,152.0,7.0,13.0,30.087988688306044,0.32817212931714523,0.0009822144340576053,171.99454085157006,151.6579098276888,3.540358916712882,3.272560936879748,-4287.5735100400125,-1.499786539541321e-06,4.003066539764404,0.0,,,,,,,
ACT-CLJ0200.3+0019,184.0,152.0,7.0,13.0,30.08298860633858,0.3281721244575863,0.0007207554983790867,185.85450588274267,151.63124965601114,2.2070315016409876,7.012979853138816,48638.418315272225,-1.4872696821527421e-06,2.2032980918884277,0.0,,,,,,,
ACT-CLJ0200.3+0019,199.0,258.0,10.0,13.0,30.074655013782134,0.3870609819082032,0.003073745030398265,202.3261079411014,259.8965279746648,0.8366822350691853,9.744483966088442,17622.170125362747,-2.3195110077044762e-06,2.422132968902588,0.0,,,,,,,
ACT-CLJ0200.3+0019,186.0,151.0,10.0,13.0,30.081877477788137,0.32761656749008766,0.0006952616930016117,186.3996825709055,150.8463250432066,2.6524683960956987,6.178084682469327,8372.63172384649,-1.4994912448371324e-06,3.1002774238586426,0.0,,,,,,,
ACT-CLJ0201.6-0211,171.0,172.0,5.0,7.0,30.42993473602598,-2.201952284678772,0.08087735784117749,168.10752655996956,171.0892788637267,0.9730311876202484,0.1360920055394712,-22273.404560707975,-5.843784316289264e-06,9.109195709228516,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,191.0,157.0,5.0,7.0,30.41881532429689,-2.2102855391570513,0.011395907454836825,191.6334708842321,156.42052504326492,1.4007419197931783,1.1611741907290651,-22105.452597320425,-6.334863913884905e-06,9.918766021728516,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,212.0,164.0,5.0,7.0,30.407140045490067,-2.206396478173399,0.4025546671038251,208.73122565015785,162.35915225329535,-0.2400531708274557,0.36812002954716405,168864.60241033626,-6.572899955593783e-06,3.1068055629730225,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,200.0,214.0,5.0,7.0,30.413812052079706,-2.1786188136419926,0.010380373914618015,200.7075827286998,213.33326113348002,2.679242513652181,0.9314547262079194,5404.554331986129,-6.776859531287852e-06,9.49751091003418,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
