cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps
ACT-CLJ0248.2-0216,236.0,243.0,5.120000000000001,2.0,6.0,42.01863801303431,-2.2248988034308232,0.001063809439038401,-0.00013986548583488911,236.0,243.0,3.0,-0.00014614959842545276,2.8395312676023328,232.35678068515352,244.20514567011338,-0.10139185694281011,3.0604453086853027,0.0,0.0003444917674642056,429047.15625
ACT-CLJ0248.3+0122,166.0,236.0,5.120000000000001,2.0,6.0,42.09918320091757,1.4117895288292674,0.000718571622976345,0.0024452328216284513,166.0,236.0,3.0,0.0025550963685180275,7.374518052829654,166.59023008537065,235.58114891480955,0.38780511874388135,8.093278884887695,0.0,0.00020298597519285977,1759955.25
ACT-CLJ0248.3+0122,263.0,114.0,5.120000000000001,2.0,6.0,42.04527956782304,1.344011114831544,0.0010842927422991624,0.009164949879050255,263.0,114.0,3.0,0.00957672821437748,4.594399190074151,262.5101770851634,115.02452706674882,0.34384008291871576,5.8070597648620605,0.0,0.0005786592955701053,161299.734375
ACT-CLJ0248.3+0122,134.0,44.0,5.120000000000001,2.0,6.0,42.11696567928414,1.305122848194856,0.001175930036041738,0.014532264322042465,134.0,44.0,3.0,0.015185194418773773,4.364973692559299,134.2281774057859,44.54936303037766,0.30483761855232255,5.233033180236816,0.0,0.0007618842646479607,94531.6640625
ACT-CLJ0248.3-0337,167.0,255.0,5.120000000000001,2.0,6.0,42.08960496814033,-3.572441894812793,0.0009030555454170754,0.007179360371083021,167.0,255.0,3.0,0.00750192679003055,14.418314804928492,166.71549373740274,254.98553682050033,-0.3447244943846894,17.791213989257812,0.0,0.00024280851357616484,1196997.25
ACT-CLJ0248.3-0337,181.0,280.0,5.120000000000001,2.0,6.0,42.08181221273189,-3.558552963926315,0.0011588968994423175,-0.0031702525448054075,181.0,280.0,3.0,-0.003312691001392161,4.604089569201574,182.52018631449005,279.06892534311794,-0.32065806411174336,3.5682902336120605,0.0,0.00045777892228215933,373902.46875
ACT-CLJ0248.7-0019,165.0,163.0,3.2,2.0,6.0,42.199432701886565,-0.32737862002248563,3.0662310195255027e-05,0.02804209664463997,165.0,163.0,3.0,0.029302019287731566,115.99079351475501,165.51444951711244,163.26908560037938,0.36560599316585385,58.65280532836914,0.0,0.00013571578892879188,4277739.0
ACT-CLJ0248.9-0328,162.0,178.0,3.2,2.0,6.0,42.243686676,-3.4724984877571785,0.000155140380467154,0.006330121774226427,162.0,178.0,3.0,0.006614532168283017,24.898750757837867,162.00942795446468,178.19309506874515,-0.355082816168067,27.488887786865234,0.0,0.00014753066352568567,3270699.5
ACT-CLJ0248.9-0328,245.0,269.0,5.120000000000001,2.0,6.0,42.197493237608455,-3.4219418427413095,0.0013130480153934854,-0.00036567312781699,245.0,269.0,3.0,-0.0003821027072291563,3.254728658934727,244.73661483063336,268.53539441757255,0.14546220215616817,7.091391563415527,0.0,0.0007614780915901065,132176.90625
ACT-CLJ0248.9-0328,252.0,252.0,5.120000000000001,2.0,6.0,42.19359690508969,-3.431386080133537,0.001234133552808282,-0.006814176216721535,252.0,252.0,3.0,-0.007120335025681519,3.255189523238032,244.74170559108725,268.5275270613496,0.14546080029890174,4.045320510864258,0.0,0.0007244666339829564,132664.421875
ACT-CLJ0249.6+0210,207.0,165.0,3.2,2.0,6.0,42.400103366954504,2.170033369065867,0.00043730084809851704,0.0039037561509758234,207.0,165.0,3.0,0.0040791506954726475,9.907729435235838,207.06810358824202,165.4779553068964,0.38676169704539765,11.858551025390625,0.0,0.0001701653382042423,2376223.5
ACT-CLJ0249.6+0210,217.0,265.0,5.120000000000001,2.0,6.0,42.39454270295304,2.2255887969710204,0.0011321822249771654,-0.0037274479400366545,217.0,265.0,3.0,-0.0038949210116871287,2.0324747562408447,217.0,265.0,3.0,2.5649847984313965,0.0,0.0005370632279664278,342895.84375
ACT-CLJ0249.6+0210,158.0,284.0,5.120000000000001,2.0,6.0,42.427345221628784,2.2361446551511035,0.0011835805083281687,0.005779116880148649,158.0,284.0,3.0,0.006038770796424697,2.815634994269908,157.7903296814349,284.4805307891967,0.28544284708969936,3.947028636932373,0.0,0.0006543922936543822,137066.65625
ACT-CLJ0250.1+0008,109.0,120.0,5.120000000000001,2.0,6.0,42.56897620435869,0.11217851282961917,0.0006557003439141843,-0.000990718835964799,109.0,120.0,3.0,-0.0010352315238064905,3.003313790374065,105.25542420058193,118.50247414797083,0.1197185040654847,3.5809037685394287,0.0,0.0002160326694138348,1519704.375
ACT-CLJ0250.1+0008,74.0,82.0,5.120000000000001,2.0,6.0,42.58842063305271,0.09106739049274377,0.0011531632788523698,0.0002644534397404641,74.0,82.0,3.0,0.000276335250184055,2.5032312870025635,74.0,82.0,3.0,3.1124486923217773,0.0,0.0005375486216507852,231795.515625
