,cluster,ra,dec
142,ACT-CLJ0915.9-0132,138.988739014,-1.54587233067
143,ACT-CLJ0916.1-0024,139.043701172,-0.405898481607
144,ACT-CLJ0916.7+0155,139.200042725,1.92974436283
145,ACT-CLJ0916.8-0059,139.222045898,-0.995125412941
146,ACT-CLJ0918.7+0211,139.689620972,2.18912315369
147,ACT-CLJ0920.4+0134,140.102874756,1.5763065815
148,ACT-CLJ0921.0-0148,140.270858765,-1.81184995174
149,ACT-CLJ0921.3+0317,140.33883667,3.28610563278
150,ACT-CLJ0922.1-0027,140.540802002,-0.460706323385
151,ACT-CLJ0922.1+0346,140.537155151,3.77069473267
152,ACT-CLJ0930.4+0216,142.607833862,2.27698469162
153,ACT-CLJ0935.0+0053,143.763168335,0.895918488503
154,ACT-CLJ0935.2+0048,143.812469482,0.798025667667
155,ACT-CLJ0935.3+0233,143.846450806,2.54847836494
156,ACT-CLJ0940.9+0322,145.236953735,3.36798095703
157,ACT-CLJ0943.7+0059,145.950378418,0.986224532127
158,ACT-CLJ0947.9-0120,146.996017456,-1.33690750599
159,ACT-CLJ0951.6-0014,147.924804688,-0.242686703801
160,ACT-CLJ0956.1+0158,149.047286987,1.97749435902
161,ACT-CLJ0957.6+0234,149.407699585,2.57290053368
162,ACT-CLJ1005.5+0235,151.385665894,2.5831797123
163,ACT-CLJ1006.9+0255,151.74055481,2.9258108139
164,ACT-CLJ1020.1-0013,155.02973938,-0.221920475364
165,ACT-CLJ1020.3-0100,155.089324951,-1.01945841312
166,ACT-CLJ1027.8+0004,156.960235596,0.0665584430099
167,ACT-CLJ1029.9+0016,157.479507446,0.275380879641
168,ACT-CLJ1031.2+0031,157.809860229,0.526755034924
169,ACT-CLJ1032.1-0249,158.038574219,-2.82856917381
170,ACT-CLJ1035.1-0248,158.784637451,-2.80376148224
171,ACT-CLJ1035.1+0249,158.787338257,2.82949018478
172,ACT-CLJ1035.4-0001,158.861999512,-0.0324676781893
173,ACT-CLJ1036.2-0223,159.063705444,-2.38617539406
174,ACT-CLJ1036.9+0154,159.24180603,1.90538239479
175,ACT-CLJ1049.3-0002,162.353256226,-0.0364830680192
176,ACT-CLJ1050.6+0017,162.67149353,0.282106727362
177,ACT-CLJ1053.7-0156,163.444839478,-1.94131863117
178,ACT-CLJ1107.4+0121,166.863388062,1.3565043211
179,ACT-CLJ1110.2-0030,167.57572937,-0.504441261292
180,ACT-CLJ1110.3+0143,167.598144531,1.72824084759
181,ACT-CLJ1110.8+0216,167.723419189,2.28373241425
182,ACT-CLJ1111.1+0044,167.800827026,0.748788774014
183,ACT-CLJ1112.8+0229,168.204559326,2.49653887749
184,ACT-CLJ1116.7+0218,169.197875977,2.30392313004
185,ACT-CLJ1116.9-0036,169.231124878,-0.612971186638
186,ACT-CLJ1117.9-0211,169.498199463,-2.18393754959
187,ACT-CLJ1118.7+0039,169.693466187,0.659681141376
188,ACT-CLJ1118.9-0041,169.733093262,-0.696312725544
189,ACT-CLJ1125.7+0010,171.431350708,0.178012922406
190,ACT-CLJ1127.5+0003,171.891677856,0.0662894919515
191,ACT-CLJ1128.3-0058,172.075149536,-0.981913745403
192,ACT-CLJ1129.8+0256,172.461746216,2.94075298309
193,ACT-CLJ1131.6-0107,172.912490845,-1.1233894825
194,ACT-CLJ1134.0+0116,173.513366699,1.27897500992
195,ACT-CLJ1136.9+0006,174.232833862,0.100501388311
196,ACT-CLJ1138.5-0011,174.639526367,-0.196952953935
197,ACT-CLJ1139.3+0154,174.831893921,1.90476500988
198,ACT-CLJ1144.0+0440,176.02734375,4.67755317688
199,ACT-CLJ1144.2+0227,176.056427002,2.46087479591
200,ACT-CLJ1145.1-0100,176.289596558,-1.006270051
201,ACT-CLJ1148.0-0234,177.026016235,-2.57751822472
202,ACT-CLJ1152.2+0031,178.058059692,0.520951747894
203,ACT-CLJ1152.5+0356,178.146453857,3.94077920914
204,ACT-CLJ1153.4+0259,178.372817993,2.98415994644
205,ACT-CLJ1154.2+0221,178.56842041,2.35701608658
206,ACT-CLJ1158.3+0228,179.598999023,2.46775388718
207,ACT-CLJ1158.9-0244,179.733413696,-2.74832653999
208,ACT-CLJ1200.9-0125,180.232772827,-1.43522465229
209,ACT-CLJ1202.8-0230,180.718154907,-2.50607705116
210,ACT-CLJ1203.9+0126,180.988571167,1.43627798557
211,ACT-CLJ1205.3-0245,181.346206665,-2.75294876099
212,ACT-CLJ1205.5+0214,181.384628296,2.24408316612
213,ACT-CLJ1208.3+0254,182.088562012,2.91368246078
214,ACT-CLJ1210.2+0223,182.57635498,2.38945174217
215,ACT-CLJ1210.2+0321,182.557342529,3.36201357841
216,ACT-CLJ1218.5+0233,184.627746582,2.55289936066
