,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type
54,ACT-CLJ0227.6-0318,0.00013423176559239488,0.9902115343315209,0.08810937417138189,0.0009525986892242037,3077.737515775233,-0.04615470897240063,1.0047495181313906,20.0
55,ACT-CLJ0228.4+0030,0.000135262007326033,1.012774325734065,-0.19123458672370128,0.0,2968.102661678251,0.010176832182917117,1.0557419457724342,20.0
56,ACT-CLJ0229.6-0336,0.000275405113153448,1.15485705124274,-0.09859516726707947,0.015241579027587259,2905.983526190038,0.013817770529978906,1.0670816907166936,20.0
57,ACT-CLJ0230.9+0248,0.00022945091902308267,0.9623912999399757,0.14771065349771811,0.0,3192.2151823916593,-0.009834350961400055,0.9748159548567839,20.0
58,ACT-CLJ0231.7-0453,0.00024934109563427544,1.0890700379008118,-0.013638649705985141,0.00857363321997085,3042.0385091942076,-0.009454072761378841,1.0172589854705978,20.0
59,ACT-CLJ0232.1+0230,0.0002281319374631198,1.0615354221826143,-0.012224560321660416,0.02095717116293248,2969.704582365189,-0.02570065990601059,1.0470551340682324,20.0
60,ACT-CLJ0232.7+0214,0.0002027348641654619,0.960627050604175,-0.00597725593352243,0.0,2963.284520265193,-0.024061484230167136,1.0530569866977362,20.0
61,ACT-CLJ0232.7+0350,0.00020781965341498524,0.9679896098318536,-0.05683643447178002,0.0,3178.9940888014457,0.03162883693656437,0.9722459846997429,20.0
62,ACT-CLJ0233.2+0211,0.00021075504766463797,1.0103980807609414,0.1733468932646729,0.0028577960676726107,2957.700668729266,0.007878468314487914,1.0499158943197668,20.0
63,ACT-CLJ0233.2+0248,0.0002105802688388958,1.0334420931377186,-0.0691657152727194,0.0,2992.2631226229823,-0.011910070993122617,1.0424034255402002,20.0
64,ACT-CLJ0233.2+0448,0.00021236860864739756,1.0589731559402658,0.0014407296885790438,0.0,2852.4951372779456,0.002874240169524465,1.081641194996244,20.0
65,ACT-CLJ0233.6-0530,0.000222815842680523,1.067272485433062,-0.041933717999988955,0.0,3070.1491179021896,0.02873142717730417,1.0051111814222555,20.0
66,ACT-CLJ0233.7+0127,0.00020747972247984418,1.031266814359149,0.05419720282610164,0.0028577960676726107,3093.8075538833136,0.016103568600711524,1.0074366628381142,20.0
67,ACT-CLJ0234.5-0107,0.00023293902771952935,1.0609939749212252,0.2052836810014157,0.013336381649138852,2766.4800709573437,-0.00042303541966635065,1.0622550685241021,20.0
68,ACT-CLJ0234.6-0259,0.00019305539214460347,0.9392952262022638,0.05327766970096631,0.0,3121.8019297524365,-2.1575694642014925e-05,0.9883055810443914,20.0
69,ACT-CLJ0235.2-0323,0.00010442370437965946,1.09164269847723,0.11723894042383279,0.0,3451.6793671657742,0.024079536471134356,0.9718689562843249,20.0
70,ACT-CLJ0235.5-0005,9.549201060320705e-05,1.0091365738958433,-0.08022402670544587,0.0009525986892242037,2850.414207222857,-0.06117391328223933,1.0875525086100153,20.0
71,ACT-CLJ0236.5+0106,9.819051618459224e-05,1.0518552429161974,0.09788580127807298,0.0,2995.5348945005308,0.0388408475006037,1.0317989149863118,20.0
72,ACT-CLJ0236.7-0228,9.800892139986929e-05,1.0723240492160717,-0.1251646011263051,0.0009526168384552365,2855.788055298271,-0.04320478993653841,1.099123582357257,20.0
73,ACT-CLJ0237.6-0423,0.00010025336028304024,1.0115758644444521,-0.023448310444013045,0.0,3081.971052300117,-0.005845377255433989,1.0145994369354567,20.0
74,ACT-CLJ0238.1+0306,8.665580343935159e-05,1.0696675560893552,-0.14909159756849427,0.0,2890.8135395110567,-0.04846168200122335,1.0796117244023773,20.0
