,cluster,ra_deg,dec_deg,FINT_first,Total_flux_vlass,int_flux_Jy,alpha,sed_offset
187,ACT-CLJ0248.2-0216,42.09448230096962,-2.2265043130064464,nan,nan,0.0004025490592877,999,999
188,ACT-CLJ0248.2-0216,42.01775780768239,-2.224281919276924,nan,nan,0.0010766612942449,999,999
189,ACT-CLJ0248.2+0238,42.04480149244138,2.571769920251177,nan,nan,0.0009484040785582,999,999
190,ACT-CLJ0248.3+0122,42.07542021872384,1.3311732949153583,nan,nan,0.0011562614568635,999,999
191,ACT-CLJ0248.3+0122,42.042077680720766,1.3406171603035602,nan,nan,0.0026209607710622,999,999
192,ACT-CLJ0248.3-0337,42.089471455006304,-3.5720324902908853,8.502087,6.41040945369,0.0050323588718091,-0.10927900621164977,1.8901272616916316
193,ACT-CLJ0248.3-0337,42.06553619201525,-3.568143222028485,nan,nan,0.0016954350487364,999,999
194,ACT-CLJ0248.3-0337,42.063865923246674,-3.5798098286399225,nan,nan,-0.0003530266178143,999,999
195,ACT-CLJ0248.9-0328,42.19649834440092,-3.423024526402666,nan,nan,0.0411966182096331,999,999
196,ACT-CLJ0248.9-0328,42.19371507354019,-3.433024373167032,nan,nan,0.0319589568117959,999,999
197,ACT-CLJ0249.6+0210,42.47459119654215,2.1274838753508445,nan,nan,0.0007949492681458,999,999
198,ACT-CLJ0249.6+0210,42.39509009387037,2.224706591476332,nan,nan,7.678300495146792e-05,999,999
199,ACT-CLJ0253.5-0017,43.34427379738048,-0.2577897020354658,nan,nan,-0.0016691434930987,999,999
200,ACT-CLJ0253.5-0017,43.416496916568086,-0.3522341937976793,nan,nan,-0.0016794838748812,999,999
201,ACT-CLJ0254.4-0538,43.667031449288,-5.6636239287992725,nan,nan,0.0080867721855817,999,999
202,ACT-CLJ0256.5+0006,44.11231236529772,0.1663949028987446,nan,nan,0.0012591660402196,999,999
203,ACT-CLJ0256.5+0006,44.17120133678063,0.0502838357553384,nan,nan,0.0003030292406251,999,999
204,ACT-CLJ0256.5+0006,44.124534640611806,0.1402838236652644,nan,nan,-0.0007305149947535,999,999
205,ACT-CLJ0257.0-0300,44.29917413509649,-2.964971448881756,nan,nan,0.0036763061888852,999,999
206,ACT-CLJ0258.4+0147,44.619820744364326,1.841799255013896,nan,nan,0.0007866884825795,999,999
207,ACT-CLJ0839.5-0140,129.82928323795898,-1.701161521934912,nan,nan,3.809283156175816e-05,999,999
208,ACT-CLJ0839.5-0140,129.92876960392974,-1.6244949706738792,nan,nan,-0.0025878195822612,999,999
209,ACT-CLJ0839.5-0140,129.84818179230194,-1.6194952976840968,nan,nan,0.0066520097874847,999,999
210,ACT-CLJ0839.5-0140,129.93988623320362,-1.6594946397616726,nan,nan,0.0029130182880686,999,999
211,ACT-CLJ0839.5-0150,129.9170181811995,-1.8763286169158984,2.2701266,3.0879090819700004,0.0045707207479523,0.15202197125984923,-0.9969096923189056
212,ACT-CLJ0839.5-0150,129.93035759962282,-1.8391060771178425,0.91447157,nan,0.0024982770630024,0.24139499294548847,-2.2466591378648557
213,ACT-CLJ0839.5-0150,129.81863421826924,-1.815772428520256,nan,nan,-0.0010574352931115,999,999
214,ACT-CLJ0839.5-0150,129.8369767848868,-1.814106289626672,nan,nan,0.0009596050437359,999,999
215,ACT-CLJ0839.5-0150,129.83586539152947,-1.8029951592074167,nan,nan,0.0032565864867494,999,999
216,ACT-CLJ0842.3+0033,130.66484785389412,0.5831627091215233,nan,nan,0.0,999,999
217,ACT-CLJ0842.3+0033,130.6098450801626,0.605385290341114,nan,nan,-0.000475268143297,999,999
218,ACT-CLJ0844.6+0216,131.1915580974399,2.210645771471048,nan,nan,-0.0005650962565436,999,999
219,ACT-CLJ0844.6+0216,131.18766742256693,2.325645772557121,nan,nan,0.0032115325222206,999,999
220,ACT-CLJ0845.0+0127,131.30917161688737,1.4247319934560985,nan,nan,0.0015423033904605,999,999
221,ACT-CLJ0845.0+0127,131.22914601706754,1.483621079254021,nan,nan,0.0024654426649743,999,999
222,ACT-CLJ0845.0+0127,131.24137189987744,1.528621202209255,nan,nan,-0.0007598497031941,999,999
223,ACT-CLJ0845.4+0327,131.4232157213185,3.49717532489066,nan,nan,0.0018316046563442,999,999
224,ACT-CLJ0845.4+0327,131.38926384898912,3.5093987748303763,nan,nan,-0.0015785780540901,999,999
225,ACT-CLJ0845.4+0327,131.372009277,3.388843423879805,nan,nan,0.0,999,999
226,ACT-CLJ0848.4+0412,132.11793791980938,4.265021494025925,nan,nan,0.0038714037107543,999,999
227,ACT-CLJ0849.6-0051,132.47013786724816,-0.8153472940591185,nan,nan,0.0018736252605589,999,999
228,ACT-CLJ0849.6-0051,132.45124793969765,-0.9175696678475672,nan,nan,0.0203870735611038,999,999
229,ACT-CLJ0849.8+0440,132.49985385606965,4.687244877162242,nan,nan,-0.0009131157192847,999,999
230,ACT-CLJ0852.2-0101,133.06253477884923,-1.0739617487115545,nan,nan,0.0025418970665358,999,999
231,ACT-CLJ0852.2-0101,133.0308624476401,-1.08285034230465,nan,nan,0.0092426576351975,999,999
232,ACT-CLJ0852.2-0101,133.06697996240342,-1.0917395215894754,nan,nan,0.006009689658708,999,999
233,ACT-CLJ0852.2-0101,133.110875628493,-0.9906282492085472,nan,nan,0.001955976200238,999,999
234,ACT-CLJ0852.2-0101,133.07086967777795,-0.9734062371529832,nan,nan,-0.0015466100176339,999,999
235,ACT-CLJ0852.2-0101,133.0414208444612,-0.9884060688509828,nan,nan,0.001751101638406,999,999
236,ACT-CLJ0852.2-0101,133.07531477420818,-1.0084062267203402,nan,nan,5.340629998334267e-06,999,999
237,ACT-CLJ0853.4+0132,133.35010663050045,1.576186673818371,nan,nan,0.0002116337817351,999,999
238,ACT-CLJ0856.3+0146,134.04513740534057,1.8046657991237545,nan,nan,0.000743101445065,999,999
239,ACT-CLJ0856.3+0146,134.0973854660462,1.7918885010099823,nan,nan,0.0007755290594513,999,999
240,ACT-CLJ0856.3+0146,134.06792725642202,1.7329995410187955,nan,nan,-0.0034595155668882,999,999
241,ACT-CLJ0856.5+0143,134.15893651301647,1.6675603681719104,6.965082,9.66899600606,0.0033147120251432,-0.21988188298058242,2.9507694056860645
242,ACT-CLJ0856.5+0143,134.07501058204403,1.7214486590868303,nan,nan,-0.0003405402211946,999,999
243,ACT-CLJ0856.5+0143,134.12169856658548,1.661449457883808,nan,nan,-0.0012521624034407,999,999
244,ACT-CLJ0856.5+0143,134.17505472496904,1.6797822751273106,nan,nan,0.0021305680068854,999,999
245,ACT-CLJ0857.8+0310,134.53691978322692,3.191576816564748,nan,nan,0.0034745882145888,999,999
246,ACT-CLJ0857.8+0310,134.40560699757512,3.1582442105956496,nan,nan,0.0056501571484229,999,999
247,ACT-CLJ0859.0-0119,134.72719793918853,-1.3329463340062542,nan,nan,-0.0002123490287798,999,999
248,ACT-CLJ0859.4+0308,134.83705073499578,3.190535777488805,nan,nan,0.0003778847902742,999,999
249,ACT-CLJ0901.5+0301,135.35788902918117,2.9901645649472064,8.181905,6.751356857979999,0.0071759583094371,-0.016458461161389232,1.028308457519539
250,ACT-CLJ0901.5+0301,135.4190826061886,2.9623866820912474,nan,nan,0.0009385803265981,999,999
251,ACT-CLJ0901.7+0408,135.4913203332746,4.096223754680133,nan,nan,0.003008546025252,999,999
252,ACT-CLJ0901.7+0408,135.44063541063565,4.085113862628147,nan,nan,0.0038043408535335,999,999
253,ACT-CLJ0904.3+0206,136.0275189469987,2.062952663823212,nan,nan,0.0020560650476625,999,999
254,ACT-CLJ0904.3+0206,136.12869769456293,2.131841697577607,nan,nan,-0.0019650339484325,999,999
255,ACT-CLJ0904.5+0426,136.17852456277913,4.395553572258816,nan,nan,0.0029712649857049,999,999
256,ACT-CLJ0905.6+0434,136.432040616144,4.56221235415048,8.464096,8.32331348382,0.00320270955047,-0.24785117082566693,3.228070001286176
257,ACT-CLJ0905.6+0434,136.42758336189144,4.642767963359145,nan,nan,0.0027689947393591,999,999
258,ACT-CLJ0909.5-0050,137.32536468909817,-0.8083976314990229,nan,nan,0.0039438934315589,999,999
259,ACT-CLJ0909.5-0050,137.36314631537806,-0.786731337812282,nan,nan,-0.0046981491298044,999,999
260,ACT-CLJ0914.7+0011,138.6667132752466,0.2470105842453988,31.386257,15.149305897710002,0.0,-0.7,0.0
261,ACT-CLJ0914.7+0011,138.71226913249563,0.1458995231023772,14.515555,13.051285387319998,-7.986979059159904e-05,-0.13953924229432682,2.4380808746218325
262,ACT-CLJ0914.7+0011,138.6806023792733,0.1386773073338738,nan,nan,0.0015329040607869,999,999
263,ACT-CLJ0915.9-0132,139.01597099641128,-1.5342054906775382,nan,nan,0.0009270420983682,999,999
