col1,cluster,ra_1,dec_1,RA_2,DEC_2,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,GroupID,GroupSize,Separation
3,ACT-CLJ0203.0-0042,30.752166748,-0.710814654827,30.810734044022816,-0.7871666553218345,0.038983844,1.68,1.5272727,0.1359562,1.63,0.0,135.3,6.35,4.93,158.9,02045-00390Z,5,0.32906199,17.820612,g,1,1.0189334,15.297,2002.5693,2452483.304200742,2393.967626608611,2450031.768344908,2454927.4097106485,4,5,346.40848257656603
3,ACT-CLJ0203.0-0042,30.752166748,-0.710814654827,30.776101569836264,-0.8026221994748097,0.70109147,0.92,1.0573134,0.13355304,3.26,0.0,90.3,6.31,6.26,96.6,02045-00390Z,0,99.0,99.0,-,0,99.0,99.0,2002.569,2452483.1832713266,2415.38942052885,2450031.768344908,2454927.4097106485,4,5,341.55256659739695
4,ACT-CLJ0203.2-0123,30.8167266846,-1.40019643307,30.819241044634065,-1.4002277332752242,0.014053002,3.08,3.3194346,0.13853464,2.81,0.0,0.7,6.99,5.33,0.3,02045-01310E,4,0.19874324,19.485579,g,0,99.0,99.0,1995.8903,2450043.4479076886,6.111729209653883,2450040.743796297,2450060.6910763895,5,2,9.04969481992178
4,ACT-CLJ0203.2-0123,30.8167266846,-1.40019643307,30.75503385134136,-1.411955594966959,0.014053002,1.1800001,2.1189246,0.13837837,6.56,3.91,141.4,8.97,6.92,151.8,02045-01310E,0,99.0,99.0,-,0,99.0,99.0,1995.8896,2450043.235160308,6.363797954951204,2450040.743796297,2450060.6910763895,5,2,226.02702183350715
5,ACT-CLJ0203.7+0216,30.9333553314,2.26411700249,30.929770580877797,2.293691715515468,0.014053002,1.69,1.044514,0.13219294,0.0,0.0,118.0,5.21,4.08,152.3,02045+02230T,1,0.7741599,20.874924,s,0,99.0,99.0,2009.184,2454899.633031373,19.7116904830867,2454883.498993056,2454931.3714120374,,,107.2470010375054
6,ACT-CLJ0203.9-0205,30.9957504272,-2.09569787979,30.961995413381917,-2.1141305245474755,0.014053002,2.28,2.4933991,0.14974819,3.17,0.0,40.5,6.94,5.45,20.9,02045-01570E,1,0.38235638,18.347645,s,1,0.5650188,15.315,1995.9603,2450069.023022123,5.672896210969301,2450062.686157408,2450078.644432871,,,138.38365496155976
7,ACT-CLJ0204.5+0321,31.1414222717,3.36070036888,31.152236672334283,3.4539555866193976,0.014053002,2.54,4.481048,0.12616819,6.84,2.96,66.1,8.86,6.87,58.0,02045+03151T,0,99.0,99.0,-,0,99.0,99.0,2009.1962,2454904.094841867,19.166602830652796,2454898.4553587968,2454969.249305556,6,4,337.96070158830264
7,ACT-CLJ0204.5+0321,31.1414222717,3.36070036888,31.152158125158827,3.4501889507355474,0.014053002,3.62,6.8747773,0.12573041,6.83,4.14,58.8,8.95,7.34,47.0,02045+03151T,1,4.690569,19.831839,g,0,99.0,99.0,2009.196,2454904.0512196487,19.098783102593124,2454898.4553587968,2454969.249305556,6,4,324.46083462807997
7,ACT-CLJ0204.5+0321,31.1414222717,3.36070036888,31.121548632393413,3.3261416163507143,0.014053002,3.35,2.6367743,0.108365394,0.0,0.0,132.2,5.91,4.6,161.3,02045+03151T,1,0.39154938,16.714563,g,1,0.39634115,14.344,2009.1807,2454898.4554805704,5.302346639081592E-4,2454898.4553587968,2454898.4598263893,6,4,143.4556195979434
7,ACT-CLJ0204.5+0321,31.1414222717,3.36070036888,31.140608275272335,3.3222443530989874,0.014053002,1.21,1.2478126,0.10693949,4.76,0.0,109.0,7.32,4.87,116.0,02045+03151T,1,0.3922391,21.110245,s,0,99.0,99.0,2009.186,2454900.382002504,11.518295372228888,2454898.4553587968,2454969.249305556,6,4,138.47256167107312
8,ACT-CLJ0204.7-0116,31.1982269287,-1.28650856018,31.248398905658892,-1.2111944573105993,0.014053002,1.15,2.3383334,0.14735086,8.88,2.7,53.6,10.62,6.61,48.9,02045-01050E,0,99.0,99.0,-,0,99.0,99.0,1995.8845,2450041.3647334618,3.906902740173206,2450039.7488888893,2450052.7152777785,7,7,325.76012465081857
8,ACT-CLJ0204.7-0116,31.1982269287,-1.28650856018,31.195628864131372,-1.2851027603805436,0.2086957,1.0899999,3.062381,0.15001433,8.81,7.04,17.7,10.85,8.92,12.5,02045-01050E,3,6.4005513,18.05536,g,1,5.2897286,15.294,1995.8933,2450044.5489178193,6.104144292572937,2450039.7488888893,2450052.7152777785,7,7,10.632387590939317
8,ACT-CLJ0204.7-0116,31.1982269287,-1.28650856018,31.214490431524364,-1.3004388829447495,0.25592706,1.0799999,0.9628916,0.1506632,2.39,0.0,121.3,6.33,4.91,141.9,02045-01310E,0,99.0,99.0,-,0,99.0,99.0,1995.8948,2450045.079882014,6.175919375541445,2450039.7488888893,2450052.7152777785,7,7,77.07873530275452
8,ACT-CLJ0204.7-0116,31.1982269287,-1.28650856018,31.288369172681804,-1.318705583549714,0.014053002,2.23,2.1173737,0.14984351,2.06,0.0,72.5,6.06,5.42,38.9,02045-01310E,1,4.730872,23.628939,s,0,99.0,99.0,1995.8922,2450044.170992658,5.6532890149453126,2450039.7488888893,2450052.7152777785,7,7,344.5121581287652
8,ACT-CLJ0204.7-0116,31.1982269287,-1.28650856018,31.207066015896558,-1.3236971711725238,0.014053002,2.51,5.6086283,0.1495433,9.65,3.59,36.9,11.41,6.78,33.0,02045-01310E,1,4.720931,23.628914,s,0,99.0,99.0,1995.8984,2450046.4079497615,6.303874305324899,2450039.7488888893,2450052.7152777785,7,7,137.60675509224112
