,cluster,ra_deg,dec_deg,flux_offset,flux_no_offset
2253,ACT-CLJ0248.9-0328,42.19649831649728,-3.423580081211896,1.381818013970925,0.44734685185633555
2254,ACT-CLJ0248.9-0328,42.19371507354019,-3.433024373167032,1.381747893931773,0.28329944193239925
2255,ACT-CLJ0248.9-0328,42.19649831649728,-3.423580081211896,1.381818013970925,0.44734685185633555
2256,ACT-CLJ0248.9-0328,42.19371507354019,-3.433024373167032,1.381747893931773,0.28329944193239925
2257,ACT-CLJ0248.9-0328,42.1976114673292,-3.422469025726519,1.3817053755452697,0.43250281930200074
2258,ACT-CLJ0248.9-0328,42.19371507354019,-3.433024373167032,1.381747893931773,0.28329944193239925
2259,ACT-CLJ0248.9-0328,42.19371031624186,-3.522468767073174,1.3796160890085245,0.1041278906279592
2260,ACT-CLJ0248.9-0328,42.19426943584184,-3.474691042757506,1.3812103642056346,0.08013349105405346
2261,ACT-CLJ0248.9-0328,42.26996524175097,-3.5146919699167243,1.3812034794111492,0.05415542601241139
2262,ACT-CLJ0248.9-0328,42.19649831649728,-3.423580081211896,1.381818013970925,0.44734685185633555
2263,ACT-CLJ0248.9-0328,42.201507449878655,-3.4191358762247632,1.3805303178957813,0.3866011676370198
2264,ACT-CLJ0248.9-0328,42.19315854972396,-3.4324687889697785,1.381903262075527,0.2593880010716545
2265,ACT-CLJ0248.9-0328,42.19649831649728,-3.423580081211896,1.381818013970925,0.44734685185633555
2266,ACT-CLJ0248.9-0328,42.201507449878655,-3.4191358762247632,1.3805303178957813,0.3866011676370198
2267,ACT-CLJ0248.9-0328,42.19315854972396,-3.4324687889697785,1.381903262075527,0.2593880010716545
2268,ACT-CLJ0248.9-0328,42.197054919812444,-3.422468998826534,1.3817779249681947,0.45587775172067924
2269,ACT-CLJ0248.9-0328,42.19315863934545,-3.430802124169257,1.380410577173575,0.170690367065183
2270,ACT-CLJ0248.9-0328,42.19315370969296,-3.522468737064101,1.3818124644724825,0.10750644682502392
2271,ACT-CLJ0248.9-0328,42.26996524175097,-3.5146919699167243,1.3812034794111492,0.05415542601241139
2272,ACT-CLJ0249.6+0210,42.47459119654215,2.1274838753508445,0.9786158080683282,0.19543609352144192
2273,ACT-CLJ0249.6+0210,42.39509009387037,2.2247065914763318,0.9785913450645369,0.10982642887685005
2274,ACT-CLJ0249.6+0210,42.47459119654215,2.1274838753508445,0.9786158080683282,0.19543609352144192
2275,ACT-CLJ0249.6+0210,42.39509009387037,2.2247065914763318,0.9785913450645369,0.10982642887685005
2276,ACT-CLJ0249.6+0210,42.47459119654215,2.1274838753508445,0.9786158080683282,0.19543609352144192
2277,ACT-CLJ0249.6+0210,42.39509009387037,2.2247065914763318,0.9785913450645369,0.10982642887685005
2278,ACT-CLJ0249.6+0210,42.402318077493774,2.2030400662075507,0.9786100466325276,0.05834228167867793
2279,ACT-CLJ0249.6+0210,42.47459119654215,2.1274838753508445,0.9786158080683282,0.19543609352144192
2280,ACT-CLJ0249.6+0210,42.39509009387037,2.2247065914763318,0.9785913450645369,0.10982642887685005
2281,ACT-CLJ0249.6+0210,42.402318077493774,2.2030400662075507,0.9786100466325276,0.05834228167867793
2282,ACT-CLJ0249.6+0210,42.47459119654215,2.1274838753508445,0.9786158080683282,0.19543609352144192
2283,ACT-CLJ0249.6+0210,42.39509009387037,2.2247065914763318,0.9785913450645369,0.10982642887685005
2284,ACT-CLJ0249.6+0210,42.402318077493774,2.2030400662075507,0.9786100466325276,0.05834228167867793
2285,ACT-CLJ0249.6+0210,42.47459121491285,2.128039430425833,0.9786107944011969,0.18674037414234318
2286,ACT-CLJ0249.6+0210,42.394534130686935,2.22415102531537,0.9784466724458438,0.09260612506299848
2287,ACT-CLJ0249.6+0210,42.41788546127376,2.1291513372724613,0.9786162526200609,0.04936922002318524
2288,ACT-CLJ0249.6+0210,42.47459119654215,2.1274838753508445,0.9786158080683282,0.19543609352144192
2289,ACT-CLJ0249.6+0210,42.39509009387037,2.2247065914763318,0.9785913450645369,0.10982642887685005
2290,ACT-CLJ0249.6+0210,42.47459119654215,2.1274838753508445,0.9786158080683282,0.19543609352144192
2291,ACT-CLJ0249.6+0210,42.39509009387037,2.2247065914763318,0.9785913450645369,0.10982642887685005
2292,ACT-CLJ0249.6+0210,42.47459121491285,2.128039430425833,0.9786107944011969,0.18674037414234318
2293,ACT-CLJ0249.6+0210,42.394534130686935,2.22415102531537,0.9784466724458438,0.09260612506299848
2294,ACT-CLJ0249.6+0210,42.41788546127376,2.1291513372724613,0.9786162526200609,0.04936922002318524
2295,ACT-CLJ0250.1+0008,42.56925328673426,0.111277358806095,0.7137715938140996,0.05119467555801398
2296,ACT-CLJ0250.1+0008,42.49536412555916,0.193499520435707,0.7139962291722743,0.20291952984194422
2297,ACT-CLJ0250.1+0008,42.54258658355755,0.1784995881759992,0.7138019700380408,0.055326645300747684
2298,ACT-CLJ0250.1+0008,42.58925326952712,0.0901662362212995,0.7132610970183337,0.11922060647344727
2299,ACT-CLJ0250.1+0008,42.58314231803106,0.179055091201628,0.7137666644922263,0.07402093426831036
2300,ACT-CLJ0250.1+0008,42.56925328673426,0.111277358806095,0.7137715938140996,0.05119467555801398
2301,ACT-CLJ0250.1+0008,42.49536412555916,0.193499520435707,0.7139962291722743,0.20291952984194422
2302,ACT-CLJ0250.1+0008,42.54258658355755,0.1784995881759992,0.7138019700380408,0.055326645300747684
2303,ACT-CLJ0253.5-0017,43.3426071103402,-0.258900805639144,-0.03648702721833526,0.10714510354904987
2304,ACT-CLJ0253.5-0017,43.3426071103402,-0.258900805639144,-0.03648702721833526,0.10714510354904987
2305,ACT-CLJ0253.5-0017,43.34427379738048,-0.2577897020354658,-0.0364880081086178,0.07694444973009802
2306,ACT-CLJ0253.5-0017,43.416496916568086,-0.3522341937976793,-0.03648827753028584,0.0744820578232502
2307,ACT-CLJ0253.5-0017,43.34427379738048,-0.2577897020354658,-0.0364880081086178,0.07694444973009802
2308,ACT-CLJ0253.5-0017,43.416496916568086,-0.3522341937976793,-0.03648827753028584,0.0744820578232502
2309,ACT-CLJ0253.5-0017,43.3426071103402,-0.258900805639144,-0.03648702721833526,0.10714510354904987
2310,ACT-CLJ0253.5-0017,43.34371823422316,-0.2583452549641071,-0.036482603019263656,0.0939850296237758
2311,ACT-CLJ0253.5-0017,43.34371823422316,-0.2583452549641071,-0.036482603019263656,0.0939850296237758
2312,ACT-CLJ0253.5-0017,43.34371823422316,-0.2583452549641071,-0.036482603019263656,0.0939850296237758
2313,ACT-CLJ0253.5-0017,43.34316267356243,-0.2583452527659426,-0.036484143836571586,0.0987395670007657
2314,ACT-CLJ0253.5-0017,43.34316267356243,-0.2583452527659426,-0.036484143836571586,0.0987395670007657
2315,ACT-CLJ0253.5-0017,43.3453849162614,-0.2583452614128927,-0.03648589971548325,0.0690282787725473
2316,ACT-CLJ0253.5-0017,43.4159413519602,-0.3527897501490029,-0.037278406492606844,0.0813025136722915
2317,ACT-CLJ0253.5-0017,43.360940350095305,-0.3489008340132989,-0.03662684922161127,0.1149228399086931
2318,ACT-CLJ0253.5-0017,43.34371823422316,-0.2583452549641071,-0.036482603019263656,0.0939850296237758
2319,ACT-CLJ0253.5-0017,43.416496916568086,-0.3522341937976793,-0.03648827753028584,0.0744820578232502
2320,ACT-CLJ0253.5-0017,43.34371823422316,-0.2583452549641071,-0.036482603019263656,0.0939850296237758
2321,ACT-CLJ0253.5-0017,43.416496916568086,-0.3522341937976793,-0.03648827753028584,0.0744820578232502
2322,ACT-CLJ0253.5-0017,43.34482935803196,-0.2577897041804234,-0.036487032354123414,0.07235484846520376
2323,ACT-CLJ0253.5-0017,43.4159413519602,-0.3527897501490029,-0.037278406492606844,0.0813025136722915
2324,ACT-CLJ0254.4-0538,43.667031449288,-5.6636239287992725,-1.1915810178619817,0.13693796611105508
2325,ACT-CLJ0254.4-0538,43.667031449288,-5.6636239287992725,-1.1915810178619817,0.13693796611105508
2326,ACT-CLJ0254.4-0538,43.667031449288,-5.6636239287992725,-1.1915810178619817,0.13693796611105508
2327,ACT-CLJ0254.4-0538,43.667031449288,-5.6636239287992725,-1.1915810178619817,0.13693796611105508
2328,ACT-CLJ0254.4-0538,43.667031449288,-5.6636239287992725,-1.1915810178619817,0.13693796611105508
2329,ACT-CLJ0254.4-0538,43.667031449288,-5.6636239287992725,-1.1915810178619817,0.13693796611105508
2330,ACT-CLJ0254.4-0538,43.667031449288,-5.6636239287992725,-1.1915810178619817,0.13693796611105508
2331,ACT-CLJ0254.4-0538,43.667031449288,-5.6636239287992725,-1.1915810178619817,0.13693796611105508
2332,ACT-CLJ0254.4-0538,43.667031449288,-5.6636239287992725,-1.1915810178619817,0.13693796611105508
2333,ACT-CLJ0256.5+0006,44.11231236529772,0.1663949028987446,0.2838161221489043,0.22042989086088943
2334,ACT-CLJ0256.5+0006,44.17120133678063,0.0502838357553384,0.2838166468119383,0.11852235765994455
