,cluster,Component_name,Component_id,ra_vlass,dec_vlass,pix_x,pix_y,amp_map,x_map,y_map,sigma_x_map,sigma_y_map,theta_map,offset_map,amp_snr,x_snr,y_snr,sigma_x_snr,sigma_y_snr,theta_snr,offset_snr
826,ACT-CLJ1203.9+0126,VLASS1QLCIR J120400.04+012612.0,58.0,181.0001689014724,1.4366812446478998,141.13064065734827,162.72591927949432,0.00015526539651287898,141.1306406499717,162.7259192856418,3.0000000062106,2.99999999112862,0.0,-5.805173789981148e-06,2.9708717013772015,142.58036196140674,161.33246234646109,1.4961819374903518,2.0657544468555167,0.5637833220947641,-0.015523626584718713
827,ACT-CLJ1203.9+0126,VLASS1QLCIR J120401.98+012641.7,0.0,181.0082702580268,1.44491857460466,126.55290996790436,177.553213659432,0.0017490279889374972,126.55290958757037,177.55321325294614,2.999999597269298,2.9999998026029595,0.0,-6.661280326933371e-06,14.51583926956513,126.18996963385946,176.81084642780624,2.47452020330555,3.060133324399841,-0.14199144983810916,-0.02155584284159778
828,ACT-CLJ1203.9+0126,VLASS1QLCIR J120401.98+012641.7,57.0,181.0082708998186,1.44491979013962,126.5517551287285,177.55540163250902,0.0017488675042513539,126.55175474878887,177.55540122517823,2.999999596974907,2.999999802741146,0.0,-6.661199301053725e-06,14.516863241053011,126.19000040749957,176.8108156477185,2.474419156491832,3.0600477508004413,-0.14195285335338564,-0.02155595998254605
829,ACT-CLJ1203.9+0126,VLASS1QLCIR J120404.64+012555.1,55.0,181.0193663660205,1.43197546730111,106.58594888280524,154.2558394389633,-6.282332919834636e-07,106.58594885921455,154.25583947970017,2.9999999490255895,2.9999999157192803,0.0,-5.721192719285593e-06,-2.8300317455514494,111.02822602147958,150.52530531565685,3.236698797750466,2.041336054169724,-0.5386590740395858,-0.013858840228818958
830,ACT-CLJ1205.3-0245,VLASS1QLCIR J120509.41-024439.3,53.0,181.289218710028,-2.74425551795991,264.4607136573687,177.64539756670723,0.0006679199533365785,264.46071385687395,177.64539719144187,2.9999995645663264,2.999999563674957,0.0,7.478379347726761e-06,1.8124814825230628,265.80707343895693,171.8296675344104,2.7828193340420597,9.174458050172829,0.3356771112732222,0.00534321677912477
831,ACT-CLJ1205.3-0245,VLASS1QLCIR J120516.14-024328.4,51.0,181.31727940678647,-2.7245586323587503,214.01021502707448,213.10161038246528,0.0003299668744025201,214.010215054279,213.1016103614976,2.999999972313229,2.99999993989248,0.0,7.655608049142824e-06,2.2139163169211598,212.87665106761762,215.1663174870512,2.0724851365772143,2.7491403974520896,-0.48306806995869933,0.007350435138717479
832,ACT-CLJ1208.3+0254,VLASS1QLCIR J120811.12+025242.2,50.0,182.0463570234197,2.8784098106600804,237.87315944609327,98.5106265884062,0.001948892923240991,237.87315761691482,98.51062529417129,2.999995468509161,2.999996770997431,-1.934498505009505e-11,-1.2416339029045558e-05,8.06157056917193,236.83761479781134,97.76770692560032,2.3291157651880976,2.864039680198993,-0.41062571811870463,-0.03410115235711756
833,ACT-CLJ1208.3+0254,VLASS1QLCIR J120814.66+025738.8,48.0,182.0611192212166,2.9607855773339904,211.33110357813064,246.78623706680378,-0.00037162017351598996,211.33110355747272,246.78623716020445,2.999999920921626,3.000000035255826,0.0,-1.115950555430163e-05,-1.8633183669295699,214.43514852602578,266.6111414553147,2.502703138667268,11.828482085560308,0.1424115066890589,-0.027578012075321588
834,ACT-CLJ1210.2+0223,VLASS1QLCIR J121004.30+022339.6,23.0,182.5179326159348,2.39434807930186,267.0684799502626,170.81564452764545,5.9336969304233235e-05,267.0684797881447,170.81564409710484,2.9999989166612027,2.9999987758668447,0.0,3.1300554327902055e-06,1.5021305840221761,266.4383546698561,169.30332503221177,2.1208717432723465,1.2169259487311082,0.036577980957638256,0.016431480194026963
835,ACT-CLJ1210.2+0223,VLASS1QLCIR J121017.73+022343.6,22.0,182.5739085065586,2.3954569775162,166.3998039714538,172.80942732709568,0.0005392214367297707,166.39980392142178,172.80942728133797,3.000000003875949,3.000000029481343,0.0,2.876139702808266e-06,4.99796560001948,165.54077301731533,171.63376693720437,2.4002319122085582,3.784926487557522,-0.7885136874109638,0.013950915437706546
836,ACT-CLJ1210.2+0321,VLASS1QLCIR J121006.88+031627.5,35.0,182.52870763199343,3.2743216374069304,213.45873502378478,4.155121221563547,-4.488170760547861e-06,213.45873502378478,4.155121221563547,3.0,3.0,0.0,1.635700747167325e-05,-0.03506384764637333,213.45873502378478,4.155121312956637,3.0000005737049946,3.0000004283360493,0.0,0.018282276868931777
