,e,Source,Group,index in SB,RA,Dec,DSS Session (fixed),SemesterProject_session(include project! we re-proposed for this sample),reduction1_exists,reduction2_exists
31,31,ACT-CLJ0215.6-0113,fall,31.0,2:15:37,-1:13:30,1.0,22B242_1,,1.0
32,32,ACT-CLJ0215.8-0041,fall,32.0,2:15:50,-0:42:00,1.0,22B242_1,,1.0
33,33,ACT-CLJ0217.7-0345,fall,33.0,2:17:44,-3:45:34,1.0,22B242_1,,1.0
34,34,ACT-CLJ0217.8-0048,fall,34.0,2:17:49,-0:48:11,1.0,22B242_02,,1.0
35,35,ACT-CLJ0218.1-0214,fall,35.0,2:18:06,-2:14:21,1.0,22B242_02,,1.0
36,36,ACT-CLJ0218.2-0041,fall,36.0,2:18:16,-0:41:37,1.0,22B242_02,,1.0
37,37,ACT-CLJ0218.5-0114,fall,37.0,2:18:34,-1:14:34,1.0,22B242_02,,1.0
38,38,ACT-CLJ0218.7-0014,fall,38.0,2:18:42,-0:14:38,1.0,22B242_02,,1.0
39,39,ACT-CLJ0219.0+0303,fall,39.0,2:19:03,+03:03:39.9509,1.0,22B242_02,,1.0
40,40,ACT-CLJ0219.8+0022,fall,40.0,2:19:50,+00:22:26.4991,1.0,22B242_02,,1.0
41,41,ACT-CLJ0219.9+0130,fall,41.0,2:19:55,+01:30:11.2079,1.0,22B242_02,,1.0
42,42,ACT-CLJ0219.9+0246,fall,42.0,2:19:55,+02:46:59.955,1.0,22B242_02,,1.0
43,43,ACT-CLJ0220.9-0332,fall,43.0,2:20:57,-3:32:52,1.0,22B242_02,,1.0
44,44,ACT-CLJ0221.6-0012,fall,44.0,2:21:37,-0:12:36,1.0,22B242_02,,1.0
45,45,ACT-CLJ0221.7-0346,fall,45.0,2:21:46,-3:46:22,1.0,22B242_02,,1.0
46,46,ACT-CLJ0221.9-0340,fall,46.0,2:21:56,-3:40:10,1.0,22B242_02,,1.0
47,47,ACT-CLJ0222.2+0520,fall,47.0,2:22:17,+05:20:14.9254,1.0,22B242_02,,1.0
48,48,ACT-CLJ0223.1-0057,fall,48.0,2:23:09,-0:57:08,1.0,22B242_02,,1.0
49,49,ACT-CLJ0223.6+0020,fall,49.0,2:23:38,+00:20:56.0464,1.0,22B242_02,,1.0
50,50,ACT-CLJ0224.5+0102,fall,50.0,2:24:30,+01:02:53.8298,1.0,22B242_02,,1.0
51,51,ACT-CLJ0224.5-0002,fall,51.0,2:24:35,-0:02:15,1.0,22B242_02,,1.0
52,52,ACT-CLJ0225.4-0355,fall,52.0,2:25:28,-3:56:00,1.0,22B242_02,,1.0
53,53,ACT-CLJ0226.4+0426,fall,53.0,2:26:29,+04:26:44.9376,1.0,"22B242_02, 22B_242_04",,1.0
54,54,ACT-CLJ0227.6-0318,fall,54.0,2:27:39,-3:18:03,1.0,"22B242_02, 22B_242_04",,1.0
55,55,ACT-CLJ0228.4+0030,fall,55.0,2:28:29,+00:30:36.7665,1.0,"22B242_02, 22B_242_04",,1.0
56,56,ACT-CLJ0229.6-0336,fall,56.0,2:29:39,-3:36:40,1.0,22B242_02,,1.0
57,57,ACT-CLJ0230.9+0248,fall,57.0,2:30:56,+02:48:13.6488,1.0,22B242_02,,1.0
58,58,ACT-CLJ0231.7-0453,fall,58.0,2:31:45,-4:53:10,1.0,22B242_02,,1.0
59,59,ACT-CLJ0232.1+0230,fall,59.0,2:32:08,+02:30:48.2405,1.0,22B242_02,,1.0
60,60,ACT-CLJ0232.7+0214,fall,60.0,2:32:47,+02:15:00.0,1.0,22B242_02,,1.0
61,61,ACT-CLJ0232.7+0350,fall,61.0,2:32:46,+03:50:25.4251,1.0,22B242_02,,1.0
62,62,ACT-CLJ0233.2+0211,fall,62.0,2:33:13,+02:11:50.1811,1.0,22B242_02,,1.0
63,63,ACT-CLJ0233.2+0248,fall,63.0,2:33:13,+02:48:49.9974,1.0,22B242_02,,1.0
64,64,ACT-CLJ0233.2+0448,fall,64.0,2:33:15,+04:48:30.0,1.0,22B242_02,,1.0
65,65,ACT-CLJ0233.6-0530,fall,65.0,2:33:37,-5:30:29,1.0,22B242_02,,1.0
66,66,ACT-CLJ0233.7+0127,fall,66.0,2:33:43,+01:27:41.0631,1.0,22B242_02,,1.0
67,67,ACT-CLJ0234.5-0107,fall,67.0,2:34:35,-1:07:55,1.0,22B242_02,,1.0
68,68,ACT-CLJ0234.6-0259,fall,68.0,2:34:38,-2:59:49,1.0,22B242_02,,1.0
69,69,ACT-CLJ0235.2-0323,fall,69.0,2:35:14,-3:23:15,1.0,22B242_03,,1.0
70,70,ACT-CLJ0235.5-0005,fall,70.0,2:35:31,-0:06:00,1.0,22B242_03,,1.0
